,episode,speaker,lines
0,46,The Adventure Zone,
1,46,Dungeon Master & NPCs, Griffin McElroy
2,46,Magnus Burnsides, Travis McElroy
3,46,Merle Highchurch, Clint McElroy
4,46,Taako Taaco, Justin McElroy
5,46,Episode 46 - The Eleventh Hour - Chapter Six,
6,46,(part of TAZscripts on Tumblr),
7,46,Griffin," Previously, on The Adventure Zone"
8,46,[theme music begins playing in the background],
9,46,The Director," The fifth grand relic. The Temporal Chalice [pronounced with a soft “ch” sound]. Or Chalice [pronounced with a hard “ch” sound], depending on just sort of what region you’re from."
10,46,Griffin," And as you make your way out into the street, you see smoke coming through the windows of the bank. There’s a dark elf woman who is lying on the ground. She is dead. There is a young man with jet black hair lying on the ground, he is also dead. And there’s a small hole with another bubble around it, and there’s light coming down through this hole. And actually, from far above you, you can faintly hear the sounds of commotion and of distant screams."
11,46,Paloma, [echoing] You will need divine intervention. You will find it at the Temple of Istus.
12,46,Taako, All right!
13,46,Griffin, There is a skeleton.
14,46,Luca," I would be willing to help you out, to help you seek divine intervention from Istus herself, but I will need my brother’s help in order to do so. Tell him that Luca misses him and needs his help."
15,46,Magnus," Yeah, probably not in this loop, but."
16,46,[Clint laughs],
17,46,Announcer," You’re about to see these boys on their baddest behavior. Lend them some sugar, they are your neighbor. It’s The Adventure Zone!        "
18,46,[THEME MUSIC," ""Déjà Vu"" by Mort Garson (full song on YouTube)]"
19,46,{1,36}
20,46,Griffin," Let’s just pick it up where we usually pick it up. Where we’ve picked it up so, so many times before. I imagine sort of how when you sit on a couch for long enough your butt impress just sort of leaves a little fossil in there, I think there are three, like, forms of just your unconscious bodies, like, in the dust, like you’ve worn it out in that one space in front of the gate leading into Refuge. What do you want to do?"
21,46,Clint, I think it’s pretty obvious we need to go find his brother. Right? Go find Luca’s brother?
22,46,Travis, Yeah.
23,46,Griffin," Right. In the last episode Luca told you that he works the Stonefruit Farms, and that’s where he is. And he’s up to some trouble."
24,46,Clint, And that was that orchard-y looking place we saw.
25,46,Griffin," Yeah, you can see it on the map, it’s like the northernmost."
26,46,Travis, The farm-ish place.
27,46,Griffin," Yeah, the place that’s explicitly labeled Stonefruit Farms in the key."
28,46,Travis, So can we assume we’re just moving past Roswell with our-
29,46,Griffin," Yeah, you can use that same loop."
30,46,Travis," I also just, as we’re walking past it, would like to take a peek down the well at the start of town."
31,46,Griffin," As you approach the well, I would like all of you to make perception checks."
32,46,Justin," Aw, dunk."
33,46,Griffin, I had you do this last time too and everybody failed.
34,46,Justin, Not this fucking time.
35,46,Travis, [rolls dice] I got a 12.
36,46,Clint," I… yeah, no, I got an 8."
37,46,Justin," That’s not very good, Daddy."
38,46,Clint, I know. So I guess I fucking failed.
39,46,Justin, Do better. [crosstalk] Do better.
40,46,Griffin," Whoa. A lot of swear-sies. Taako, how’d you do?"
41,46,Justin," Yeah, your kid has got you covered right now with this. He’s got a 23."
42,46,Griffin," Oh, yeah, Jesus. Okay no, the kid with those keen, keen magic-- with those magic eyes. Taako, you see from behind the well, kind of spying on you, it looks like, you see the shadow of a man. Scaramouche, scaramouche. No, you do see - I mean, it does, it kind of looks like a guy’s shadow looking at you over the well. And to be frank, that 23 was like just good enough to see this thing because it was really tough to see. And it vanishes almost as soon as you lay eyes on it, but you know- you know that was- that was somebody looking at you. I’ll actually say, with a roll that good, you kind of piece together that you’ve walked by this well every time you’ve come in town. And you’ve never seen that thing there before. Not in any of the other loops."
43,46,Travis," Now, this shadow, Griffin. Does he know what evil lurks in the hearts of men?"
44,46,[Clint does a spooky laugh.],
45,46,Griffin," No, there’s no- there’s no fedora on this- on this being."
46,46,Travis," Is there some kind of spiritual, emotional fedora?"
47,46,Griffin," Everybody’s wearing a spiritual fedora, Ju- Travis. That’s the secret."
48,46,Travis, Have you heard the good news? I’d like to tell- I’ve got some pamphlets here about your spiritual fedora.
49,46,Griffin, That’s what the book “The Secret” is about.
50,46,Justin," Is there any sort of top hat? I mean, what’s the chapeau situation up there? [Travis laughs]"
51,46,Griffin," No, there’s no-"
52,46,Travis," Don’t leave us hanging, Griffin, give the people what they want."
53,46,Griffin, There’s a Stetson hat.
54,46,Travis, Ooh.
55,46,Griffin," Yeah, how about that? But, the shadow’s gone just as quick as you saw it. It is not there anymore."
56,46,Justin," Do I have a - I mean, is it gone or did I stop seeing it? Do I have a sense of that?"
57,46,Griffin," I mean, you didn’t, like, start - no, it’s just gone. It just disappeared right in front of you."
58,46,Travis," Well, I didn’t see it, so I’m still headed to check down the well. I [mumbling] just wanna kind of look down and I drop a penny."
59,46,Griffin," Oh, okay, do you actually do that?"
60,46,Travis, Do I have pennies? I don’t want to drop any-
61,46,Clint, They gotta drop a diamond.
62,46,Griffin," Yeah, you’ve got gold pieces, probably. Unless you spent literally all of them."
63,46,Travis," How about I just, like, drop a rock down and listen?"
64,46,Griffin," You probably have a few gold pieces just as, like, per diem that the Bureau gives you."
65,46,Travis," But I don’t want to drop some fucking gold pieces, that’s like dropping a dollar coin."
66,46,Griffin," Alright, yeah, okay, you drop a rock."
67,46,Justin," Fuck, this is captivating! What will he drop?"
68,46,Griffin," You drop a rock. Well, this is actually going to be interesting. You drop a rock and it’s like, you can kind of see down the well a ways. You hear the rock hit something. What sound would it make? It sounds ab- [sighs] The sound sounds vaguely like- oomp. Like, it doesn’t sound like it’s hitting rock, it doesn’t sound like it’s landing on anything. Unfortunately it’s too dark down that well for you to see, kind of, where it stopped."
69,46,Magnus," Fellas, I’ve got a theory. I know that that’s not my norm, but remember how we could, like, hear the explosion and stuff when we were down in the mine at the shield with the worm and stuff?"
70,46,Taako, Mmhm.
71,46,Magnus, I think this is how we could hear it. I think we’re right above it right now.
72,46,Taako," We could definitely investigate that, but I feel like the farm should still be our priority, right?"
73,46,Magnus," Definitely, but this might be a shortcut to get down there a lot faster next time."
74,46,Merle, Let’s remember the well.
75,46,Griffin, You’re heading up to the Stonefruit Farms?
76,46,Travis, Yeah!
77,46,Griffin," Okay. How are you getting up there? ‘Cause it’s on the opposite end of the bubble than you’re at, so it’ll take you a fair while to get there just walking."
78,46,Clint, If only we had something we could ride.
79,46,Justin," Listen, I see where you’re going with this. It’s not a three-man-"
80,46,Clint, Why not?
81,46,Travis, Are there any horses around we could hijack?
82,46,Griffin," There is one horse posted up in front of the sheriff’s office, but that’s it. I mean, they don’t really have need for horses in this."
83,46,Travis," Okay. I yell over my shoulder,"
84,46,Magnus," Roswell, we need your horse."
85,46,Roswell, That’s fine. I’m too big to ride that thing anyway. I hate tha- I hate that fucking horse.
86,46,Travis," All right, I grab Merle and drag him up behind me."
87,46,Justin, I cast Phantom Steed.
88,46,Clint, Yeah!
89,46,Garyl, Yo.
90,46,Griffin," Garyl appears. Beautiful, shimmering mane. Maybe a look of jealousy or perhaps competition in their eyes? As they- as they eye this other horse?"
91,46,Garyl," Yo, thanks for putting the little dwarf on him."
92,46,Merle," Wait a minute, what’s that supposed to mean?"
93,46,Garyl, ‘Cause you’re a fat man. I don’t like it.
94,46,Merle," Man, you know Garyl always talks the truth, man."
95,46,Magnus," All right, Garyl, I’ll follow your lead."
96,46,Garyl," You’re like dark matter. You’re so small, but it’s like, youuuuch."
97,46,Merle," We get tha- Yeah, I’m fat, let’s go."
98,46,Griffin," You’re not fat, you’re dense, I think is what Garyl’s saying. [crosstalk]"
99,46,Merle, Dense is not much more complimentary.
100,46,Garyl," You’re dense. Like a good steak. Made out of metal. I’m not good at metaphors, I’m only about thirty seconds old. What’s up? Let’s ride."
101,46,Griffin," Wait, thirty seconds old, is it a different Garyl? Every time Garyl is summoned and unsummoned-"
102,46,Clint, Surely there’s some kind of race memory thing.
103,46,Justin, He’s not stringing together his memories.
104,46,Griffin," Yeah, I guess that’s - wow, shit, that’s dark."
105,46,Clint, And yet he remembered I was dense!
106,46,Justin, What? He can just tell by fucking looking at you.
107,46,Clint," Oh, okay. [laughter]"
108,46,Griffin," Okay, you work your way through the-"
109,46,Justin, I think if you’re a horse and you don’t get a sense of how heavy it would feel for someone to ride-- that’s going to be like your first thing that you develop.
110,46,Travis, That’s 101.
111,46,Justin," That’s 101, is, like, that person looks dense."
112,46,Griffin," That person’s dense, that person’s got oats."
113,46,Justin, That’s 101 and 102.
114,46,Clint, Okay.
115,46,Justin," Alright, so let’s ride to the farm."
116,46,Griffin," Okay, yeah, you ride through those woods. [Travis makes horse noises] It’s a fairly easy ride. You go past Paloma’s hut and get some of that good smell."
117,46,Travis, I wave at it just in case she’s looking out the window.
118,46,Griffin, She’s not.
119,46,Travis," Well, you don’t know. [pause] Actually, you probably do-"
120,46,Clint," Yes, he does."
121,46,Griffin," I do know, I’m making it all up as I go. And as you reach the end of the woods-"
122,46,Travis," Then I yell,"
123,46,Magnus," Paloma! Paloma, I’m waving at you!"
124,46,Griffin," She just yells,"
125,46,Paloma, Holler!
126,46,Griffin, -out the door.
127,46,Travis," Aah, so she is a hollaback girl!"
128,46,Griffin," She absolutely is. You make your way to the end of the woods and you start to come near a clearing through which you can see Stonefruit Farms. And what you see are - and it’s fenced in, with a small picket wooden fence. You see two wide plots of orchards, and they are lined with these tall well-kept trees, and each of those trees has dozens of these plump stone fruits, which are plum-like super-sweet produce that can grow in harsh environments like this one. And these stone fruits, you’ve definitely eaten them before. I think they’re as common as apples in this world. But these look incredible. They are unblemished with a flawless marbled purple rind. Each one’s about the size of a regulation bocce ball. [Travis Ah, mhm.]"
129,46,"You see two people standing in this field, you see a male elf who is gingerly harvesting some of these fruits from a tree near the center of the orchard, and you see a tall human woman who isn’t doing any field work. She is practicing aiming a crossbow at some bottles that are lined up on that fence. So that woman is facing in your direction but has not seen you yet because you haven’t emerged from the woods.",
130,46,"To the left of the two plots, you see a large fairly inviting-looking homestead, but as you look at it you notice something weird, and that is that both the fields and even a portion of this house have been cut off by the bubble. And these fields are really wide but they’re not especially deep because they end at the bubble, and based on the width of these plots you kind of surmise that they were once, like, vast, vast orchards that have been reduced to sort of a fraction of their size when the bubble went up.",
131,46,Travis," And remind me, Griffin, the bubble is opaque or translucent?"
132,46,Griffin," From- it’s kind of halfway. It’s kind of shimmery. If you looked really hard you could see what’s going on outside, but… yeah."
133,46,Travis, Gotcha.
134,46,Clint," Have we really ever investigated the bubble? I mean, have we ever-"
135,46,Justin," We went through it that one time but I don’t think we’ve been back to it, if memory serves."
136,46,Griffin," Yeah, I mean, you’ve been - it’s certainly been like, around you. I mean, it’s everywhere. You see it. You look up and you can see it. So- so that is the scene. Oh, and these two farmworkers, I should mention - they’re wearing purple kerchiefs around their necks."
137,46,Travis, Ohh.
138,46,Griffin," And they’re using them occasionally to sort of dab the sweat out of their eyes. They’re not wearing them as bandit masks or anything like that, but they’ve got purple kerchiefs on. So you’re at the end of the woods. You’ve come to this clearing. You can see them, they have not seen you yet, what would you like to do?"
139,46,Travis," I have rustic hospitality, so I’m just gonna go up and talk to them."
140,46,Clint," You know, you’ve mentioned that every episode, and I don’t know if we’ve ever taken advantage of it."
141,46,Griffin," Okay. Yeah, you come up out of the woods. Do you say something to sort of announce yourself? Do you - what do you do?"
142,46,Clint, Be rustic. Be rustic!
143,46,Griffin, Do be rustic about it.
144,46, Travis," In Elven, to the elf, I say,"
