,episode,speaker,lines
0,65,The Adventure Zone,
1,65,Dungeon Master & NPCs, Griffin McElroy
2,65,Magnus Burnsides, Travis McElroy
3,65,Merle Highchurch, Clint McElroy
4,65,Taako Taaco, Justin McElroy
5,65,Episode 65 - The Stolen Century - Chapter Six,
6,65,(part of TAZscripts on Tumblr) ,
7,65,Griffin," Previously, on the Adventure Zone    "
8,65,Griffin," If a lich can anchor themselves with a powerful enough sort of emotional attachment, then- then they can sort of maintain their identity and they can maintain their sanity."
9,65,Griffin, You see what looks like some sort of jellyfish.
10,65,Travis," Uh, I look down in the water and I say"
11,65,Magnus, I-I’ll protect it. I promise. 
12,65,Travis, And I grab it and run.
13,65,Announcer, Our heroes’ journey has been... difficult. But they've been lucky. I wonder what happens when that luck runs out? It's The Adventure Zone!
14,65,[theme song],
15,65,{1,27}
16,65,Griffin," It is the 65th cycle, and things in the back half of your century-long—"
17,65,Travis," I can't wait for four more cycles, am I right? [Cackles]"
18,65,Griffin, For what? 
19,65,Travis," ’Cause then, uh… ’cause then it'll be the 69th… heh..."
20,65,Justin, Actually 69s don't exist in the world of The Adventure Zone. It's very-
21,65,Travis, Aw no!
22,65,Justin, That number doesn't mean anything here.
23,65,Griffin, But they do have… 27s yayayayayayyayayayyayaya.
24,65,Clint, Yeah! 27s...
25,65,Travis," Stay out of this, Dad!"
26,65,Griffin," Stay out of this Dad, it's not for you. {205}"
27,65,Griffin," So things in the back half- things in the back half of your century-long voyage are- they’re more fraught than the first half. Your escapes at the end of the year, they're getting narrower. And The Hunger isn't just getting stronger, it's getting better at hunting you. Your time during these cycles is less carefree. All seven of you, your efforts to self-improve, and study your foe are doubled because you've had a few close calls now and the weight of those close calls is a lot to bear. It's becoming more and more evident that if you are all ever completely taken over by The Hunger, that would be it for- for… everything."
28,65,{2,52}
