,episode,speaker,lines
0,94,The Adventure Zone,
1,94,Keeper & NPCs, Griffin McElroy
2,94,Aubrey Little/Lady Flame, Travis McElroy
3,94,Edmund “Ned” Chicane, Clint McElroy
4,94,Duck Newton, Justin McElroy
5,94,“Beacon”, Justin McElroy
6,94,TAZ Transcript Episode 94 - Amnesty - Part Fourteen,
7,94,(part of TAZscripts on Tumblr),
8,94,Griffin," Previously, on the Adventure Zone…"
9,94,Griffin," Aubrey we see you and you're back in your childhood home, several years ago. You are leaving it tomorrow. And then we see a car pull up just in front of your house with its lights off, with two figures silhouetted from within. "
10,94,Duck," A friend of mine. He died last night, and there wasn't any foul play or anything suspected. "
11,94,Ned, Looks like a bottle of Gatorade went behind the brake pedal and so... this really does look like an accident. 
12,94,Griffin," You all see a figure on the side of the road wearing a brown robe. It's got these two large bags. There is a payphone, and it starts to ring. "
13,94,Duck, Go for Duck.
14,94,Voice," In three minutes, your friend Leo Tarkesian is going to die. He will be crushed to death, as will the two customers currently shopping in his store. You might want to do something about that."
15,94,[Theme music (The Adventure Zone, Amnesty Theme by Griffin McElroy) plays]
16,94,Griffin," The voice on the other end of the phone hangs up, Duck. And a stiff breeze blows down Kepler's main drag sending snow swirling around nearby buildings— the Pizza Hut, Dave's Dehumidifier Depot, and Leo's General Store, where he and his customers will apparently be crushed to death in a little under three minutes. What do you do?"
17,94,Justin, How far away is it from here to there?
18,94,Griffin," So you are speaking, or you are currently holding the receiver of a payphone on the side of the road. You had just sort of passed the stretch with those businesses that I just mentioned, and I would say that you are probably about 100ft away. Not too far."
19,94,Duck," Alright, y'all, I need help now. I need— Aubrey, Ned, I need your help. "
20,94,Aubrey, What? What do you need?
21,94,Duck, I need you all to help me clear Mr. Tarkesian's store. I just got a weird call that they're about to get—
22,94,Aubrey, Let's go!
23,94,Duck, —crushed. Alright. Good good good. Come on. 
24,94,Ned, Okay.
25,94,Griffin," Jake says,"
26,94,Jake," Do you need me on this too, or what's— what do you need?"
27,94,Duck," Hell yeah, Jake. Just try to stay out of the way, man. "
28,94,Travis, So I'm going to have Aubrey do a blast of heat to try to clear the snow. Right. Is there snow? Is it a hazard to run there? 
29,94,Griffin," No. It may get in the way a little bit, but I don't know that it's bad enough that you need to— You are— I want to paint the scene for you. You're in the middle of the street, and there's maybe not anybody immediately around, but if you're gonna fucking, you know, go heat vision just to clear some snow in front of you... You can do that if you want, but it would be risky. "
30,94,Travis," Okay then, instead she's gonna say,"
31,94,Aubrey, Go go magic powers!
32,94,Travis, —and start running. 
33,94,Griffin, Okay. 
34,94,[Clint laughing],
35,94,Travis, So that's “Do one thing that is beyond human limitations.” 
36,94,Griffin, What are you doing?
37,94,Travis," I'm running like the wind, Griffin, using my wind powers to buffer— to push me forward. "
38,94,Griffin," I'm gonna push back on that 'cause I think that this— we need to maybe narrowly define ""something beyond human limitations"" 'cause if we say, like, you can get super speed whenever you want, that seems like— that seems like a pretty drastic sort of—"
39,94,Travis, Can I push— push Duck forward?
40,94,Griffin," Sure, yeah. If you want to launch Duck forward— the blast of wind. I would allow that. "
41,94,Travis, Let's go with that. 
42,94,Griffin, Okay
43,94,Justin," So I'm running, I think the visual is, I'm running and he just blasts me from behind [laughing]"
44,94,Griffin," Yeah, okay."
45,94,Justin," Alright, go ahead and do it."
46,94,Travis, So I rolled a nine plus two—
47,94,Griffin, Okay.
48,94,Travis, —so that's 11.
49,94,Griffin," So if that was a Use Magic, then you achieve your desired effect. Describe this."
50,94,Travis," So, like, as Duck is running I'm going to say, like— imagine, you know, like a strong wind. This is not a light breeze, as you described. This is like whoa, and it's going to propel him forward at a fast rate. "
51,94,Duck, Guys! Look! I've awakened some sort of latent ability!
52,94,Aubrey," Okay just go, Duck!"
53,94,Duck," Another one of my powers has returned! I never knew, but I'm incredibly fast!"
54,94,Ned," Think happy thoughts, Duck! Think happy thoughts!"
55,94,Duck," I'm trying, Ned, I'm trying. I don't know what's making this work, but look at me go! Holy shit, man!"
56,94,Clint, Ned's going to Read a Bad Situation. 
57,94,Griffin," Okay. I like that, so— I'm just trying to— because everything is kind of happening in real time and we do have a sort of very specific time table we're working with here, just to paint this scene, Duck is now flying full speed with the wind at his back towards—"
58,94,Justin, Am I off my feet?
59,94,Griffin," I don't know, are you?"
60,94,Justin, I didn't feel like I was. It felt like I was just running really fast.
61,94,Griffin," Yeah, I feel like for you it's like you're running down a hill really fast, and you know how— like that feeling of, like, you're running down a hill and you're like oh shit how do I stop? Like you have a lot of momentum but I don't think you're like Peter Pan flying. "
62,94,Travis, And I rolled really good. So like [crosstalk] you're cool
63,94,Griffin," Yeah you're doing good. So Aubrey is sort of between— Aubrey ran forward to give you this extra push and I think you and Jake Coolice are still back towards the car, and you want to Read a Bad Situation."
64,94,Clint," Yeah, and I rolled an eight plus sharp, so that's a 10, and I think Ned is not the fastest of the bunch, but I think we're just kind of charging into this situation, and all Duck knows is “crushed.” I'm gonna look around and see if I can figure out what exactly is coming our way. "
65,94,Travis," Also if this is a Die Hard 3 scenario, then they might be watching, you know? They might— the person who made the call—"
66,94,Griffin," Oh, interesting."
67,94,Travis, —might be spying on Duck McClane.
68,94,Clint, What do I get for a 10?
69,94,Travis, You can have anything off this shelf. 
70,94,[Laughing],
71,94,Travis, Anything.
72,94,Clint, Oh I want the ball— the ball in the cup game.
73,94,Travis," Oh, no I'm sorry, you gotta win twice to get the ball in the cup. You can have anything on this shelf between this one and this one. Anything between these two. "
74,94,Griffin," Okay, so on a Read a Bad Situation you hold three, actually. You can ask what's my best way in, what's my best way out, are there any dangers we haven't noticed, what's the biggest threat, what's most vulnerable to me, and what's the best way to protect the victims. "
75,94,Clint," Okay, well I'm gonna get to that one for my third one. "
76,94,Griffin, [laughing] I figured. 
77,94,Clint, A) is there— are there any dangers we haven't noticed? 
78,94,Griffin," Hm. The danger here is— you see Aubrey cast this gust of wind that pushes Duck forward towards Leo's General Store, but you feel a wind too. And you're standing behind Aubrey. You feel this wind that is getting stronger. It's mounting, and— the snow storm that you all just sort of drove through, it's— this isn't that. There's just sort of a powerful gale that is starting to appear around you, and it's getting stronger. "
79,94,Clint, Alright. What's the biggest threat?
80,94,Griffin," This wind is getting sort of stronger, like freakishly fast, and you hear this sort of sickening, loud, metallic groaning noise. And it's coming from the distance sort of right in front of you in the direction of Leo's shop and you see, starting to sway in the wind, in a kind of unnatural way, the gigantic Pizza Hut sign. [Clint gasps] The one that is designed to be seen from the nearby highway as drivers pass Kepler. It is— it's starting to sway in the wind a little bit, like a reed. Like a stalk of wheat, and this sign is enormous and it doesn't look like there's any way it should be doing this. That looks pretty dangerous to you. The big big Pizza Hut sign. "
81,94,Clint, And what's the best way to protect the victims?
82,94,Griffin," You notice that the Pizza Hut sign is starting to bend a little bit towards its base, and the direction in which it's bending is in the direction of Leo's General Store. So the best way to protect the victims is to make them not be there [crosstalk] when this happens."
83,94,Clint," [crosstalk] In the store, yeah. "
84,94,Ned, Folks! The sign. [fumbling] The-the-the-the sign— it's— that's what's going to be the crushing things that's gonna crush the people. 
