,episode,speaker,lines
0,61,The Adventure Zone,
1,61,Dungeon Master & NPCs, Griffin McElroy
2,61,Magnus Burnsides, Travis McElroy
3,61,Merle Highchurch, Clint McElroy
4,61,Taako Taaco, Justin McElroy
5,61,Episode 61 - The Stolen Century Chapter Two,
6,61,(part of TAZscripts on Tumblr),
7,61,Griffin, Previously on The Adventure Zone
8,61,Griffin," You see the Hunger. You don’t call it that yet. Reaching down and into your world, sort of reaching down around your ship to the world that you’re flying away from. Davenport takes the Starblaster back down, and into the Prime Material Plane. This is not the reality that you left. This is a different reality altogether, the first of many that you’re going to encounter during this mission."
9,61,Travis," I'm checking on, like, bear cubs and telling people to get to cover and—"
10,61,Griffin," You're left behind and you only, sort of, outlast the Hunger for so long before you are killed."
11,61,"And you pass through the threshold between realities. And as you pass through that barrier, time stops once more. You see these white threads of light begin to encircle the ship, and they stitch back together Magnus.",
12,61,"The Hunger is stronger now, because that’s what happens when the Hunger feasts.",
13,61,Announcer, And so our heroes find themselves leaping from world to world. Hoping each time that their next leap will be the leap home. ...Or something like that. It’s the Adventure Zone!
14,61,[Theme song plays],
15,61,{1,57}
16,61,Travis," Okay, but first, Griffin, I have a very important question that I should’ve asked at the end of last week when—"
17,61,Griffin," Is it about your fucking hard candies, like what sort of flavours did you bring? Or… [crosstalk] It was— It was, wasn’t it?"
18,61,Travis," [crosstalk] Well, shit! Well, fine."
19,61,Travis," Well, I mean, not with the flavours, but."
20,61,[Justin laughs],
21,61,Griffin, What did you want to ask about your hard candies?
22,61,Travis," When everything resets, do I have my supply of hard candy back?"
23,61,Griffin," Um, no. Sadly no."
24,61,Travis, [crosstalk] What?!
25,61,Clint, [crosstalk] Aww.
26,61,Griffin," No. So let’s actually go over. Um, We’re going to start things out on cy—"
27,61,Travis, This is bullshit!
28,61,Griffin, [insincerely] I’m so sorry.
29,61,Clint, [chuckles]
30,61,Griffin," We’re going to start things out on cycle number eight. Like I said, we’re gonna kind of skip ahead. The last one- the animal kingdom was cycle number one. This is cycle number eight, and in the past few cycles the seven of you have worked out some of the rules of this journey."
31,61,"To Travis’ point, for some reason whenever you’ve crossed out of the boundaries of your own reality, your, like, your existence, like, your very being, was stitched into the fabric of all realities. And it takes Lup and Barry, like, a whole cycle of working together to figure this out. They spend countless nights hypothesising and testing theories to this effect. And basically what you realise is whenever you cross into a new reality your physical forms are brought back to— what Lup and Barry call— your recorded state. Just literally, like, how and where you were when you first left your homeworld.",
32,61,"Some other things you realise, just by, like, going through these cycles a few times is you don’t choose what realities you come to, and you’re not exactly sure what does choose it.  And also you’ve seen this now— I guess, seven times up to this point; whenever you enter a new reality, a few days later, the Light of Creation descends at a random point in the sky and falls and then a few days after that, that dark force, um- which Lucretia actually comes up with the name for- the Hunger, just locates the plane that has the Light of Creation in it and then about a year later the Hunger arrives in proper.",
33,61,"And once it arrives, one of two things happen, either it assaults the plane as it scours it looking for the Light of Creation, or once it has the—",
34,61,Travis, [crosstalk] Or it a-peppers it!
35,61,Griffin," Oh geez. Uh, or it—"
36,61,Justin, Oh golly.
37,61,Griffin, —if it collects—
38,61,Clint," That was not me, that was not me mainly—"
39,61,Travis," Well, it was kind of you. I would say it was your influence after thirty three years."
40,61,Griffin," Yeah I would say it’s by proxy. Um, if it finds the Light of Creation though, it uses it to absorb the entire plane, adding it to its— its mass. Um—"
41,61,Travis," So Griffin, have we, have we yet in any of these cycles been able to save a plane or protect a plane or do anything to change—"
42,61,Griffin," So yeah, if you—"
43,61,Travis, — the plane being destroyed?
44,61,Griffin," —a couple times now you, uh, didn’t do it that first time. The Hunger, you all remember, descended on the animal kingdom—"
45,61,Justin, Didn’t go great.
46,61,Griffin," —uh, collected the light and absorbed the Animal Kingdom plane, which, um, I guess mechanically speaking but also narratively speaking means the Hunger like, has, that plane now. And everything in it."
47,61,"But a couple times though, you have recovered the Light. And you’ve managed to leave the, leave the reality you’re in with the light and then the Hunger goes and attacks the plane, looking for it, but doesn’t, doesn’t, um, doesn’t find it and so eventually it gives up and kind of chases you down, and it doesn’t absorb that plane, uh, it fucks it up a little bit, but it ultimately, you know, leaves it, leaves it be and chases you down. However, whenever you leave a reality with the Light, whenever you escape with the Light of Creation, once you cross over into that new reality, you don’t have it anymore.",
48,61,Justin, Right.
49,61,Griffin, And a few days later it follows you down and you have to find it all over again.
50,61,{5,47}
51,61,"So I’ve been using the term ‘cycles’ because that’s, like, kind of what it is. You have a year here to, um, find the Light, to learn about the Hunger, to empower yourselves to maybe one day take down the Hunger. Um, and if you don’t find the Light in one year and escape with it, the Hunger uses it to consume that world. Which means it’s basically the end of that world and also the Hunger just got stronger.",
52,61,"Um. So! Also, like, this mission is- It’s tough, right? But you are emboldened by one important fact. And that is that if you die while carrying out this mission - it doesn’t matter. As long as someone escapes on the Starblaster, you’ll all be revived, uh before- before the next cycle. Um, so with that in mind-",
53,61,Justin," But we’re dead for that year, right?"
54,61,Griffin," Yeah, yeah."
55,61,Justin, Okay.
56,61,Griffin," Which isn’t ideal, I imagine."
57,61,Justin, No.
58,61,Griffin," I know that was a lot, but again - a hundred years. Here we go. This is cycle number eight."
