,episode,speaker,lines
0,20,The Adventure Zone ,
1,20,Dungeon Master & NPCs, Griffin McElroy
2,20,Magnus Burnsides, Travis McElroy
3,20,Merle Highchurch, Clint McElroy
4,20,Taako Taaco, Justin McElroy
5,20,Episode 20 - Petals to the Metal- Chapter Three,
6,20,(part of TAZscripts on Tumblr),
7,20,Griffin," Previously, on The Adventure Zone."
8,20,[theme music begins playing],
9,20,The Director," There’s a Grand Relic one of our Seekers have found, and it is in the possession... of a master criminal, known as The Raven. The Gaia Sash gives the wearer control over nature."
10,20,Griffin," Taako and Magnus- the door shuts to the elevator, and your, uh, elevator adventure… begins."
11,20,Griffin," You see vines have broken in through the first floor, and are almost like filling up the elevator shaft like water."
12,20,        Taako, Rrrrrope trick!
13,20,Travis, [laughter]
14,20,Griffin," Sure enough, there is a… Just sort of black hole, uh, 60 feet above you. It [the rope] has lowered itself into your elevator car!"
15,20,Griffin," The vines grab onto the elevator, and it collapses, and falls, and all of a sudden you are supporting Taako’s full weight! And, so, the three of you are now hanging- So this scene was really great, um-"
16,20,Clint, This looks like the Goonies!
17,20,The Announcer, Goonies never say die. But Dungeon Masters do! Oouuuhh…! ...It’s The Adventure Zone!
18,20,[theme music (Déjà Vu by Mort Garson) plays],
19,20,{1,31}
20,20,Griffin," I cannot wait… To hear- you got- wait- it’s been… Let’s, let’s take the- the listeners backstage. It’s been about three weeks? Since we were recording. You guys-"
21,20,Travis," Don’t take them backstage, it’s all messy."
22,20,Griffin, Now I-- Well- That’s… Whose fault is that?
23,20,Clint, [disapprovingly] Travis.
24,20,Travis," I mean- it’s- it’s mine. Like, I left my water bottle lying around, there’s like a half eaten candy bar at my station…"
25,20,Griffin, And your leg- and- and all your LEGOs!
26,20,Travis, All my LEGOs.
27,20,Justin, [giggling]
28,20,Griffin, Um-
29,20,Travis," How am I supposed to be in character without my LEGOs, Griffin!? It’s in my rider."
30,20,Griffin, It’s been over- it’s been like 21 days. Since our last episode. And I can’t wait to hear… how you plan to get out of this… predicament.
31,20,Justin, I reach up to the giant’s face. And then I pluck the golden dagger from within my sheath.
32,20,Griffin, [laughing]
33,20,Justin," And I bury it, and I say in the words of my people- ala-kachung!"
34,20,Griffin, ...What’s that?
35,20,Justin," Which is an ancient, phrase… that means ‘This is for… the- w- uhh...’"
36,20,Travis, For K’chong!
37,20,Justin," ‘This is for K’chong, the… knight?’"
38,20,Clint, And K’cheech.
39,20,Justin, ‘And K’cheech. K’cheech and K’chong. The two knights errant that you slayed.’
40,20,Griffin," So… I think you, have become… Untethered, from our timestream. Because that’s-"
41,20,Travis, He’s- he’s got that Mazes and Monsters vibe goin’.
42,20,Griffin, That is- that is in the future- 
43,20,Justin, Okay I’m- I’m sorry. 
44,20,Clint, And that is some good stuff though.
45,20,Justin," Okay I remem--I remember. At that moment, I remember that I have a solitary silver bullet, w- resting in the chamber. And I spin, to the… steambeast, and I say..."
46,20,Griffin, [interjecting] Yeah.
47,20,Clint, Mmm.
48,20,Justin, ‘This one’s for… Pa-paaa.’
49,20,Griffin, You’re literally- [laughs]
50,20,Travis, [overlapping] ‘K’chong.’
51,20,Justin," ‘This is for my papa, K’chong.’"
52,20,Clint, You’ve gone all DC Convergence on us.
53,20,Griffin, You are… Steambeast is next week.
54,20,Justin, Okay.
55,20,Clint, [laughing]
56,20,Griffin," This week, you are… In an elevator shaft, without an elevator in it."
57,20,Justin, [interrupting] Can I say something? I wish I’d- said somethin’ funnier than ‘steambeast.’
58,20,Griffin, [overlapping] No Steambeast-
59,20,Justin, It didn’t seem lazy in the moment-
60,20,Griffin, Steambeast was- Steambeast was really good!
61,20,Justin," I was trying to get an- I was tryin’a summon up, some like, Cthulhu-type shit."
62,20,Clint," No, no no, Steambeast is good for the fanart. Uh, circle."
63,20,Griffin," Yeah, it’s evocative. I can’t wait-"
64,20,Travis, Steambeast is the new Cthulhu.
65,20,Griffin, Is it made of steam? Is it a steam… Steampunk?
66,20,Clint, Steam powered! Beast. I think?
67,20,Justin, List-! I’m-! I’m still in the fuckin’ pre-alpha stage on this guy. Don’t ask me a bunch of questions about it.
68,20,Griffin," Okay. Um,"
69,20,Travis, Before- before we get started-
