,episode,speaker,lines
0,59,The Adventure Zone,
1,59,Dungeon Master & NPCs, Griffin McElroy
2,59,Magnus Burnsides, Travis McElroy
3,59,Merle Highchurch, Clint McElroy
4,59,Taako Taaco, Justin McElroy
5,59,Episode 59 - Lunar Interlude V, Reunion Tour - Part Two
6,59,(part of TAZscripts on Tumblr) ,
7,59,Griffin," Previously, on The Adventure Zone"
8,59,[Reunion Tour plays],
9,59,Maureen," I saw all of existence all at once. I saw a dark storm, a living hunger, eating it from within. I saw a brilliant light, heralded by seven birds flying tirelessly from this storm. I saw seven birds. The twins, the lover, the protector, the lonely journal-keeper, the peacemaker, and the wordless one."
10,59,Johann, Can I ask you guys a question?
11,59,Magnus, Sure.
12,59,Taako," ‘Course, Johann."
13,59,Johann, Are you guys really okay with– with this part of the deal?
14,59,Magnus, That we get forgot?
15,59,Johann," Are you cool with like, if you beef it down there, the world just… forgets about you?"
16,59,Magnus," Well, I’m not planning on ever dying."
17,59,Griffin," Merle, Pan’s not answering. You know beyond a shadow of a doubt he’s just not—he’s just not there. He’s not there supporting you with holy power, he’s not—he’s just gone."
18,59,Griffin, Next to this table is a pod and inside of it you can see Magnus’ body.
19,59,Justin," Just before we leave, I leave a sapphire on the table next to the note. “Trust the voices in your head, and open your mouth and let the first words you speak be ‘Flaming Raging Poisoning Sword of Doom’.”"
20,59,Travis, I pick up the ol’ battleaxe and I start walking for the Voidfish’s chambers.
21,59,Griffin," And then… we pan up. And we see a thirteenth plane descending. It is a disc of shimmering, living darkness, crossed with ribbons of bright blue, red, green, gold. It is larger than the other planes combined. And as it lowers, slowly, bright white eyes begin to open all across the underside of this plane. Millions of them burning with malice and… Hunger. All focused inward and down, back down, all the way back down on the floating headquarters of the Bureau of Balance. And somewhere inside of that living plane, we see a smile flash across someone’s face."
22,59,Announcer," We’re nearly caught up now. Have you been paying attention? This next part is– well, it’s important. It’s The Adventure Zone!"
23,59,[music plays out until 3,16]
24,59,Travis," So Griffin, I had an idea for this episode."
25,59,Griffin," Oh, good, let’s hear it."
26,59,Travis," Well, we’re almost sixty episodes in, right? And we haven’t had a Lost episode yet, so what if you just started this one at the start of the next episode. And, like, we’ll just—the second part of the Lunar Interlude will just be like, our Lost episode."
27,59,Griffin," [crosstalk] Okay, okay, okay, I gotcha, I gotcha, I gotcha, okay.  You’re all—you all have ascended to dragon form."
28,59,Clint, [laughing]
29,59,Griffin," Merle, you are the Eternal Dragon, Kreyfus, [Clint Thank you.] And Taako you have become the Elder Dragon, Gerald..."
30,59,Justin, [in a Sean Connery voice] Don’t steal my heart!
31,59,Griffin," And Magnus, you are the, actually Magnus is the Braveheart dragon, so."
32,59,Justin," Don’t steal my heart, it’s too powerful!"
33,59,Griffin, I speci—I specifically made Magnus the Braveheart dragon.
34,59,Travis, [crosstalk] I’m not the Braveheart dragon!
35,59,Justin, [crosstalk] Sean Connery dragon from Dragonheart.
36,59,Clint, Yeah.
37,59,Griffin," Dragonheart, fuck, yeah Braveheart… "
38,59,Travis," No, I’m the Braveheart dragon. It’s canonical."
39,59,Justin," [continuing to impersonate Sean Connery] I love you Maggie, I always have."
40,59,Clint, Can I be the Iron Fist dragon?
41,59,Griffin, I already told you what dragon you are! Stop askin’ to be—we talked about this in the last episode!
42,59,Clint, [crosstalk] I don’t wanna be the eternal—that makes me sounds so old!
43,59,Justin," Also, everybody hates Iron Fist, what are you talking about?"
44,59,Clint," Oh, do they really?"
45,59,Justin, All everyone’s talking about is what a garbage pile that is.
46,59,Griffin, It’s bad.
47,59,Clint," Oh, man, then I’ll go back to bein’ the, uh, eternal dragon. Whatever."
48,59,Justin, [crosstalk] Now I’ve dated our show.
49,59,{4,25}
50,59,Griffin," It’s too late. Um, so, let’s actually do this episode instead, is that okay, Trav?"
51,59,Travis," Oh, okay. Yeah, yeah, that’s fine. That’s fine, whatever."
52,59,Griffin," So, last episode, um, Magnus, you found a new body, but elected not to get into it. And Merle and Taako, the two of you kinda left Magnus behind to deal with his drama as you make your way towards the Director’s private quarters so we’re gonna have to do some split storytelling here and kinda jump back and forth? and, uh, let’s start out with Taako and Merle."
53,59,"So, the two of you have made your way out of the abandoned Fantasy Costco and towards the main dome that contains the Director’s private quarters. And, uh, you’re out on the quad now of the Bureau headquarters and there’s just nobody out here, like, at all. You’ve never seen it this, this, uh, empty here. And with this quiet, motionless storm overhead, this scene is, like, weirdly still. And you’ve made your way to the entrance to the main dome now that contains, like, the main hall and the relic destruction chamber and the Director’s office. ",
54,59,"And you saw Davenport and the two guards that were sort of with Davenport walk into this dome earlier. And you assume that the Director is in here as well preparing to destroy the Animus Bell. And also in this room you know, in the back, sort of behind the dais is the entrance to the Director’s office which is where the map is kind of telling you to go next. So, what is—what’s your, what’s your game plan, the two of you, for movin’ in here and movin’ ahead if that is what you wanna do?",
55,59,Clint, [bursts out laughing]
56,59,Justin," Yeah, I’m, uh…"
57,59,Clint, We just looked at each other!
58,59,Justin," Yeah, uhh…"
59,59,Clint," Um, I think we… I, God almighty."
60,59,Travis," Man, if this doesn’t sum up the Adventure Zone experience then I don’t know what does."
61,59,Griffin," Yeah, no kiddin’."
62,59,Justin, So there’s nobody around?
63,59,Griffin," No, but in the building you assume that there are people in that big, big main hall. Just to lay the table—I’m asking, like, are you going for a sort of stealthy approach, trying to sneak through this hall to get past it, or are you going to… lie and use your charm, or are you going to use magic, or do you have any sort of trick up your sleeve that way, or are you going to confront it head on? Are you going to fight your way through?"
64,59,Clint," I think we’re pullin’ a long con. I don’t think this is a burglary gig, I think this is… "
65,59,Justin," Yeah, yeah, we’ve already got an established fiction. Um, what’s, um… "
66,59,Clint," Yeah, let’s play it through!"
67,59,Justin," Yeah, yeah, let’s do that."
68,59,Griffin, Okay.
69,59,Clint," So we’re just gonna go right in and say hi to everybody and act like a normal mission, yay Tres Horny Boys!"
70,59,Justin," Boo, dead Magnus?"
71,59,Travis," Yeah, Dos—Dos Horny Boys."
72,59,Clint, Dos Lonely Boys?
73,59,Griffin, Now it’s Dos Lonely Boys. It really is this time.
74,59,Justin, We’re actually gonna go by Dos Equis now. The two horses.
75,59,Clint," Oh, that’s good! That’s good!"
76,59,Griffin," Alright! You walk in and you see… you do see the Director and she is standing in front of the big window looking into the, uh, the relic destruction chamber. That sort of big Cerebro shaped room. And she is looking in and Davenport is in here as well with, with the two guards. And sort of standing kind of to the side and a little bit behind the Director, also looking in, you see Angus McDonald, boy detective, who…"
77,59,"He looks, he doesn’t actually look at you as you walk into the room? He’s just kind of looking into the chamber, sort of not distracted at all. But The Director does look over when she sees the two of you walk in. And she says, she starts to walk towards you and kind of stops, because she doesn’t really wanna abandon her post, she wants to make sure this thing goes through, but she says",
78,59,The Director," Taako, Merle, my God, I’m— I’m so sorry about Magnus. I—I knew there would be some risks sending you into Wonderland but I—I’m so sorry, if I had thought that you couldn’t take it, I wouldn’t have done it. I’m so sorry."
79,59,Justin, I’m going to… [clears throat] I’m gonna cast Detect Thoughts. It’s a second-level divimination…
80,59,Griffin, [giggling]
81,59,Travis," Nice, nailed it, got it in one!"
82,59,Clint, Isn’t it fun? [gibberish]
83,59,Justin, You can do… you can tell I don’t diviminate a lot.
84,59,Clint, [wheezing] The diviminator!
85,59,Justin," When I cast the spell and as my action on each turn, until the spell ends, I can focus my mind on any one creature that you can see within thirty feet of me. If the creature I choose has an intelligence of three or lower, or doesn’t use language, the creature is unaffected."
86,59,Griffin, Okay. She has an intelligence much much much much much much much much much higher than three.
87,59,Justin," That’s perfect, then. I can hear her thoughts."
88,59,Griffin, She speaks—she speaks eight languages.
89,59,Justin," That’s perfect. Yeah, I didn’t think she was like, a rock. [Griffin Yeah, sure.] Or a fish. I thought she was a sapient human."
90,59,Griffin, Do I get to roll to defend against this?
91,59,Justin," I don’t believe so but you can check in the, I can check in the…"
92,59,Griffin," You initially learn the surface thoughts of the creature, what’s on its mind in this moment. The Director is genuinely happy to see you and she is relieved to know that you’re there. And she is, at the same time, I would say the other emotion that she’s experiencing right now is sort of like, excitement and anxiety? [Justin hmms] And a little bit of worry, not necessarily in seeing you, I think they’re two distinct thoughts, but she sees you and this is not, like, some fakey-fake bullshit, like she is genuinely like, she’s so happy to see the two— the two of you at least are safe. And she’s sad, she’s like, heartbroken about Magnus. She’s really, really sad."
93,59,Justin, Okay.
94,59,Clint, [clearing throat]
95,59,Griffin," Um, if you probe deeper, then the target must make a wisdom saving throw, if it fails, uh, you gain insight into its reasoning if any, its emotional state, and something that looms large in its mind, uh, something it worries over loves or hates, if it succeeds the spell ends. Either way the target knows that it’s uh probing in your mind [incorrect phrasing]. So if you try to go deeper, she will know that you’re going deeper. Or you can just take this surface-level thing-"
96,59,[lil crosstalk],
97,59,Justin," No, I’m just gonna—she will win that contest of wills, I believe."
98,59,Griffin," Alright. So yeah, those two things you get and there’s no penalty. You know that she’s happy to see you, sad about Magnus, and worried about something."
99,59,Justin," Yeah, okay."
100,59,Merle," Lucretia, I have a favor to ask. I know you're right in the middle of this stuff but, um, you know, we were thinking of havin’... kind of a little memorial service for Maggie. "
101,59,The Director, Well that would be appropriate—we will—I mean we will have to do the rites of remembrance.
102,59,Merle," [crosstalk] I know, well, sure, I'm thinkin’ of somethin’ a little bit more personal, you know? Over the last few months…? Episodes? Um…"
103,59,Taako, Arcs! The last few arcs.
104,59,Merle," Last few arcs, the three of us have gotten really tight and you know, a lot of our best memories were forged together, just the three of us, in your office. And so I was thinkin’, you know, hearkening back to the last time we were… together… "
105,59,Taako, [humming in agreement as Merle talks]
106,59,Merle," [fake crying] I was wonderin’ if, maybe before we do all this other stuff, if Taako and I can have just a couple of minutes in your office to kind of think about… think about the guy that touched our lives."
107,59,Justin," [laughing] I’m not laughing in-game, I just wanna clarify!"
108,59,Griffin," I got it—yeah, sure."
109,59,Travis, It’s foolproof.
110,59,"[Justin keeps laughing, coughs]",
111,59,Merle," And chopped off.. my arm… and if you could just give us this, please, we’ve done so much for you, we’ve lost so much…"
112,59,Justin, This is in-game
113,59,Taako, Hell yeah! What he said for sure!
114,59,Merle, Yeah.
115,59,The Director, I know that the two of you have had a truly awful day and of course—
116,59,Merle," Thanks, I’m glad you understand!"
117,59,Taako, [fake crying] Thank you for understanding!
118,59,The Director," Go wait—go wait in my office, I have some finger sandwiches in there and we can all sort of… um, come down a little bit and we’ll figure out… we’ll figure out a good way to send off our good friend Magnus. I do have some work to take care of first, but you go in there and…"
119,59,Merle," You take care of that and thank you, that’s from the bottom of my heart. [sniffling]"
120,59,Griffin," Okay, so she gives you—"
121,59,Justin, I think she said she’s gonna take care of it in her office with us in there?
122,59,Clint, No!
123,59,Justin, No?
124,59,Clint," No, no! Huh, she’s got some work to take care of out there."
125,59,Griffin," Yeah, she’s taking care of some work first but she’ll meet you later. So you have clearance to go."
126,59,Justin, Nice work!
127,59,Merle, Shit! I never thought that…
128,59,Taako, Not in a million bajillion years!
129,59,Merle, [laughing] Not in a million years!
130,59,Travis," Yeah, to be fair, I thought you guys were in her office at the time, so I was confused as to what we thought was happening there."
131,59,Justin," I, uh…"
132,59,Clint," So we go in her office, right?"
133,59,Justin," Yeah, I’m gonna cast Detect Magic."
134,59,Griffin, Okay.
135,59,Justin, [claps] That’s me—
136,59,Clint," [doing a deep, booming, exaggerated voice] Detect Magic!"
137,59,Griffin," Okay, um, what are you, what are you, can I ask what you’re looking for? Are you in her office now, or—"
138,59,Justin," Like, I’m in her office, I just cast detect magic, I'm kind of like, looking for vibes. Barry told us to— Oh!"
139,59,Clint, Barry!
140,59,Justin," Yeah, that’s a great idea, hold on!"
141,59,Clint," This is, like…"
142,59,Taako, Barry?
143,59,Justin, I’m opening up the pocket spa and whispering into it like a fuckin’ I Dream of Jeannie--
144,59,Clint, [laughing]
145,59,Griffin," You hear him shout from far away, you hear him shout from far away… "
146,59,Clint," Hello, master!"
147,59,Barry," Yeah, yeah, can I get out of here? It’s a lil’ cramped."
148,59,Taako, No! What’re we looking for?
149,59,Barry," Uh, I have no idea? I’m—this—I-I-I don’t remember—"
150,59,Justin," All of a sudden he’s muffled, [muffled noises], ‘cause I closed the fuckin’ Pocket Spa and put it back in my bag."
151,59,Clint, What a douche.
152,59,Taako," Okay, well, no help from Barry."
153,59,Griffin," As you walk into this room, you hear his coin that you have chime on. And it says, uh"
