,episode,speaker,lines
0,24,The Adventure Zone,
1,24,Dungeon Master & NPCs, Griffin McElroy
2,24,Magnus Burnsides, Travis McElroy
3,24,Merle Highchurch, Clint McElroy
4,24,Taako Taaco, Justin McElroy
5,24,Episode 24 - Petals to the Metal - Chapter Seven,
6,24,(part of TAZscripts on Tumblr),
7,24,Griffin," Previously, on The Adventure Zone"
8,24,Hurley," We’re- we-we’re gonna be the best racers, ever! We’re gonna have the best racing team ever! Magnus, you’re gonna be in charge of security. We’re, we're probably gonna have a lot of boarders, and I’m gonna need you to keep em off the, off the wagon."
9,24,Travis, We're gonna have some hop-ons.
10,24,Hurley," You win a battlewagon race by either finishing first or being the only surviving wagon by the end of the race. Um, so we're gonna need somebody who can assault the other wagons. I just want you up there, flinging your Magic Missiles. Merle, I actually have something I wanna give you. It's, it's a large black metal wrench. It's called the Adamant Spanner. And you're gonna need to use that out on the course if we take too much damage, or you know, a wheel falls off or something like that. "
11,24,Griffin," She hands you three the, uh, harnesses."
12,24,Hurley," If you fall off the wagon, these will automatically-"
13,24,Travis, [over Griffin] Ugh.
14,24,Hurley, -deploy a bubble around you-
15,24,Griffin," -and she drives into the crate, and the door behind you lifts up and closes."
16,24,Hurley," Remember, we got fifteen opponents, but all we have to do is beat Sloane."
17,24,The Announcer," Get out of my dreams, and into my battlewagon! Hop in the backseat, baby! It's the Adventure Zone!"
18,24,{1,07}
19,24,[theme music (Déjà Vu by Mort Garson) plays],
20,24,{1,35}
21,24,[a loud horn sounds],
22,24,Griffin," You hear another horn come from outside and Hurley kicks the engine into gear even before the crate door drops, and suddenly you are blinded by the sun pouring into the crate in which your battlewagon was hiding, and even as your eyes adjust you can't really see much, but you do hear a lot. You hear engines roaring uh even louder now, you hear a dust storm sort of whipping up, ar- around the starting line here, um, and then you start to see bright flashes of light moving between the different battlewagons, and before you can really fully ascertain the situation, the, the three of you are deafened by an explosion about twenty meters to your left, and after that explosion you hear another horn-"
23,24,[a second horn sounds in the background],
24,24,Griffin," -uh, which seemed to be emanating from these big black pylons. And then-- as soon as the, like, while you're trying to figure that out, two magic missiles fly over the car, nearly missing Taako and a spear flies just directly in front of the car and then Hurley shifts gears, and you are sort of pushed back in your seats by the acceleration, and you seem to be moving away from the pack, and then, uh, as you-- as you sort of pull away a little bit, you hear four more horns sound from the pylons,"
25,24,[four shorter and lower horns play in succession as Griffin narrates],
26,24,Griffin," and Hurley says, ah,"
27,24,Hurley, Every time you hear one of those it means that we've knocked somebody out!
28,24,Griffin, She's like-
29,24,Hurley, We're already- we’re already five down so we're- we’re looking good!
30,24,Magnus, [loudly] What?
31,24,Merle, [loudly] Why are you yelling?
