,episode,speaker,lines
0,6,The Adventure Zone,
1,6,Dungeon Master & NPCs, Griffin McElroy
2,6,Magnus Burnsides, Travis McElroy
3,6,Merle Highchurch, Clint McElroy
4,6,Taako, Justin McElroy
5,6,Episode 6, Here There Be Gerblins - Chapter 6
6,6,(part of TAZscripts on Tumblr),
7,6,Griffin," Previously, on the Adventure Zone… "
8,6,Griffin," As you step foot into the chamber, that is completely made out of black glass, and as you move towards him, you see a single figure that is dwarven in shape, but it’s so badly burned, with, on its hand, a silvery glove, a silvery gauntlet. Gundren reaches over very quickly, snatches it up and puts it on his right hand. And he is engulfed in flame. "
9,6,Travis, I regret this immediately!
10,6,Griffin," He goes flying out of the room, and Killian says,"
11,6,Killian, We need to get him before he destroys the whole world. 
12,6,Griffin," The four of you in this wagon crest a hill. As you look down you actually see a convoy of wagons, that have been completely destroyed, completely burned out. And you see laid out next to them a few charred bodies that you make out to actually be orcish. You see four human figures who are sort of picking over the remains. And they have their own cage with a adolescent orc boy in it. "
13,6,Clint," I am going to cast thaumaturgy, and I’m going to yell, "
14,6,Merle, Platoon one attack from the east! Platoon two attack from the west!
15,6,Griffin," The two ruffians split off and [laughing] start running in either direction. You find some keys on one of those two dead bandits and you pop open the cage, and the orcish boy doesn’t seem especially grateful. He just sort of starts to walk away. "
16,6,Clint, So he’s an emorc. 
17,6,Magnus," Okay, bye!"
18,6,Griffin, That was pretty good.
19,6,[Justin laughs],
20,6,The Announcer," Someone flies. Someone dies. Seriously, this week someone flies and someone dies. It’s The Adventure Zone!"
21,6,[Theme music, Déjà Vu by Mort Garson]
22,6,{2,20}
23,6,Travis, Is there anything fun in the cart? 
24,6,Griffin," You actually find the stash of these of these ruffians, you find a deck of playing cards,that are probably not legit? Probably probably some [Travis Yeah!] cheatin’ cards, is what we’ll call ‘em. "
25,6,Travis, Yeeeah!
26,6,Griffin," I’m guessing that Magnus is gonna take that, since you’ve got sort of a… what was that Mel Gibson river boat gambling movie?"
27,6,Clint, Maverick.
28,6,Travis, Maverick.
29,6,Justin, Man Without A Face.
30,6,Griffin, You’ve got kind of a Man Without A—
31,6,[Laughter],
32,6,Griffin, You—
33,6,Clint, Mad Max.
34,6,Griffin," You pick that up and you find four different sacks of coins, that are sort of unevenly filled. You think that maybe it sort of refers to the pay grade that each of these ruffians had on them. But all told there is about two hundred and twenty gold pieces—"
35,6,Clint, [Satisfied] Hah-hoh. 
36,6,Justin, Great.
37,6,Griffin," In between them. So you pick all that up, too."
38,6,Travis, To Phandalin!
39,6,Griffin," The rest of the stuff is just kinda either junk or, you know, burned up supplies."
40,6,Taako, Shouldn’t we leave two? Shouldn’t we leave two bags? Those other guys will be back.
41,6,Magnus," Taako, what’s that over there? Okay, let’s get in the cart. C’mon."
42,6,[Clint laughs],
43,6,Griffin, You—
44,6,Justin, Are we taking their cart? Or are we getting back in our cart?
45,6,Griffin, Your cart is much better off. Their cart—
46,6,Justin," Oh, thank god."
