,episode,speaker,lines
0,27,The Adventure Zone,
1,27,Dungeon Master & NPCs, Griffin McElroy
2,27,Magnus Burnsides, Travis McElroy
3,27,Merle Highchurch, Clint McElroy
4,27,Taako Taaco, Justin McElroy
5,27,Episode 27 - Petals to the Metal - Chapter Ten,
6,27,(part of TAZscripts on Tumblr),
7,27,Griffin," Previously, on the Adventure Zone-"
8,27,Griffin, You’re getting… kind of close to the finish line.
9,27,Justin," Oh, that’s a one."
10,27,[Clint laughs],
11,27,Justin," You see, Garyl…"
12,27,Griffin, Shit.
13,27,Justin," See, Garyl... talks a big game."
14,27,[Travis laughs],
15,27,Griffin," Yeah, Garyl’s pulled under the tires of the car."
16,27,Garyl, Thank you for believing!
17,27,Griffin, A bright red beam cuts a path through the top of the shark tank. You hear Maarvy yell
18,27,Maarvy," Damn, you guys!"
19,27,Griffin," You bring the axe down on him and then he falls to the ground dead, and then his bubble deploys, and he just very slowly, you just, you hear a “eeerrrrrr”."
20,27,Justin, I’m gonna cast Enlarge on the motorcycle.
21,27,Griffin, Oh…. kay? It is going very fast now.
22,27,Merle," I’m gonna hit that red, big, red-ass button because I think it’s gonna give us nitro injected funny fuel!"
23,27,The Announcer," Can our heroes reach out and take a bite of that sweet, checkered flag? It’s the final lap of… THE ADVENTURE ZONE!"
24,27,[MUSIC],
25,27,[1,24]
26,27,Griffin," The two big chrome ram’s horns on the front of this, of Hurley’s muscle car battle wagon sort of rotate ninety degrees, and are now like sticking out directly away from the car, almost like two big curly wings off the side of the car. And they start to rattle and shake, um and Magnus, from where you’re standing on top of the car, you can hear the big row of these big tailpipes on the back of the car - those are also starting to shake. And suddenly, a deafening blast of blue flame just shoots out of the tailpipes and those two ram’s horns simultaneously. Basically just turning the entire battle wagon into this great fiery blue arrow that suddenly gains a pretty tremendous amount of speed."
27,27,"Magnus, like the G-force of you being like, pushed backwards - if you were not strapped in to those safety rails on top of the car, you would be... just toast right now, cause this thing’s kicking up a lot of fire. And, Taako, from where you are, I imagine this is probably a pretty terrifying sight, like somebody just shot a car missile in your direction. And it gives you a pretty tremendous boost of speed, and it lasts for about ten seconds before the tanks run dry, but that is all the time that Hurley needed to position herself basically neck-and-neck with Sloane’s sleek, floating canoe with these two wings coming off of it - that’s her battle wagon. And Taako, you’re actually pretty much neck-and-neck with them too, in your great big motorcycle.",
28,27,         Taako," Hell yeah! [laughter] Easy rider, baby."
