,episode,speaker,lines
0,84,The Adventure Zone,
1,84,Master of Ceremonies & NPCs, Travis McElroy
2,84,Errol Ryehouse, Griffin McElroy
3,84,Augustus Parsons, Justin McElroy
4,84,Gandy Dancer, Clint McElroy
5,84,Episode 84 - Dust - Part Three,
6,84,(part of TAZscripts on Tumblr),
7,84,Travis, Previously on The Adventure Zone
8,84,Travis," You see a pair of gloves on the table, they are workman’s gloves. At the tips of the fingers there are kind of… claws."
9,84,Ann," If I tell you something, will you keep it to yourself? Me and Jeremiah got married."
10,84,Marcus," It sounds like the deal is beneficial for the people making it. You’ve gotta look… bigger. I’ll make you a deal. [Augustus Here we go.] You take my place in the feeding tonight, and I can tell you who would be against it."
11,84,Gandy, I have one very specific question I’m going to ask you. I’m going to want to know who the Banshee is.
12,84,Errol," Sounds like y’all aren’t giving me a whole heck of a lot of choice, so, uh…"
13,84,Ellis," Oh, no no no, please, feel free to say no, but our employer will be very disappointed. The Banshee’s really looking forward to talking to you."
14,84,[Theme music (The Adventure Zone, Dust Theme by Griffin McElroy) plays]
15,84,Griffin," Should we go over clues first, or do you want to just hop right into this shit?"
16,84,Justin," I think it’s very useful to do the clue recap. Dad, what clues do you have, Dad? I want to start with Dad. Give me a clue."
17,84,Clint," The first clue uh the, uh, is the uh… "
18,84,Griffin, Real quick question are all the clues going to take this long?
19,84,Clint," Silver dust! On the twin scars across the abdomen, refined silver dust, which we have to assume is coming from the silver mine."
20,84,Griffin," And the gloves, the gloves I found."
21,84,Clint," Yes, the gloves with the two blades. "
22,84,Justin, I prefer order and method.
23,84,Travis, Use your little gray cells!
24,84,Justin," Use your little gray cells. The first clue Jeremiah was confused and felt betrayed when he died. Ann didn’t want Dylan to talk. Silver dust on Jeremiah’s clothes. Ann grew up with Dylan and Jeremiah. Jeremiah’s blood was on Dylan. Jeremiah was celebrating, he was drinking a lot. He was—"
25,84,Griffin, [crosstalk] He was married to Ann.
26,84,Justin," He was celebrating his marriage to Ann. I did these chronologically, so that’s kinda— you kinda gave away, yeah. Liam has claw gloves with silver dust on them."
27,84,Griffin," Uhh, yes. All good."
28,84,Justin, He was the murderer.
29,84,Griffin," Yeah, so Liam was the murderer, I kinda beefed it there. Cause I could’ve just like, werewolf attacked him. Case closed. End of arc, two episodes in, but I forgot I guess. And that’s just bad detective work, but I’ve got a lot going on right now, so… Um…"
30,84,Clint," This Ann is not Anna, Augustus’s daughter, right?"
31,84,Travis, No.
32,84,Griffin, No.
33,84,Justin, No.
34,84,Griffin, That would be fucking wild.
35,84,Travis, Why would that?
36,84,Griffin," Another thing, I got sort of accosted by two toughs—"
37,84,Travis, Approached. I would say approached.
38,84,Griffin," Well, they were nice about it, but I was accosted by two toughs working for the Banshee, local sort of criminal ringleader in town, and Gandy got… feasted upon."
39,84,Travis," Got— got fed on. Feasted makes it sound like, “Oh let’s go crazy."""
40,84,Griffin," Travis— you wanted a fucking hard arc, bro. You wanted a fucking dark tone I’m trying to give it."
41,84,Travis," Yes, but I also want appropriate word choice."
42,84,[Someone snickers],
43,84,Griffin," Okay, that’s fine."
44,84,Travis," Words mean things, Griffin."
45,84,Griffin, And so that’s where we left off.
46,84,Travis," I’m also— I have two names for said toughs. Ellis and Blackwood, named for listeners Lucy Ellis and Ethan Blackwood."
47,84,Griffin," See? Keep on tweeting folks, keep the dream alive."
48,84,Justin," Ann— Anna’s full name is Anna Cardium Cash— sorry, not cashew that’s wild."
49,84,Clint, Cashews!
50,84,[Everyone laughs],
51,84,Justin, Anna Cardium Parsons.
52,84,Griffin," All right, where are we picking up Travy?"
53,84,Travis," When last we left, we’ll say that the feeding has just completed."
54,84,Gandy, Ow.
55,84,Travis, It was minor.
56,84,Justin, Skipping the whole feeding?
57,84,Travis," It’s just like eating a sandwich, you know what I mean? This is straight to business. People always want to romanticize vampire feeding, but this is just like, “I’m hungry, I made a sandwich, gobble gobble.”"
58,84,Clint," Yeah, but it’s not that much fun for the sandwich."
59,84,Travis, Well…
60,84,Griffin, Maybe.
61,84,Travis," You know, maybe? You don’t know? Maybe the sandwich is like, “Yay, my purpose!”"
62,84,Justin, “I did it. I reached the culmination of all my dreams.”
63,84,Travis," “I’ve done it, I’m a sandwich.”"
64,84,Justin," If you’re a sandwich and you have dreams other than getting eaten, I bet your parents are like, “Oh Jeffrey…”"
65,84,Travis, “Stick to what you know.”
66,84,Justin," “What a wonderful world that would be. I would love for you to be a district attorney also."""
67,84,Clint, “We should have never given you those participation medals.”
68,84,Travis," “Oh, we encouraged you too much Jeremy the Sandwich.” And also Errol has been approached by Ellis and Blackwood. I would like to resolve that first."
69,84,Griffin," Yeah sure, are they carrying heat? Are they packing heat?"
