,episode,speaker,lines
0,73,The Adventure Zone,
1,73,Game Master & NPCs, Clint McElroy
2,73,Nadiya Jones, Travis McElroy
3,73,Chris “Remy” Rembrandt, Griffin McElroy
4,73,Irene Baker & Kardala, Justin McElroy 
5,73,Episode 73 - Commitment Part 3 ,
6,73,(part of TAZscripts on Tumblr),
7,73,[Theme music (The Adventure Zone, Commitment Theme by Griffin McElroy) plays]
8,73,Griffin, Let’s just get into it! Let’s just get on it— [crosstalk]
9,73,Travis, [crosstalk] Roll your ball!
10,73,Griffin, —roll that fuckin’ ball!
11,73,Clint, Are we… are we good? Should we just charge right in?
12,73,Griffin, Let’s just do it! We’re about to fight a big fucking robot unicorn and I’m ready!
13,73,Travis," Yeah, if you want to know the “Previously on…” go back and relisten to the episode!"
14,73,Clint, Good point.
15,73,Griffin," Things Remy has done since he got superpowers Jumped into a wall, and then solved a- a riddle from a big St. Peter. Things he has not done Jumped and fought. It’s time. It is now."
16,73,Justin," I would appreciate, uh, reminding us of what we’re doing."
17,73,Travis," No, we’re fighting a unicorn and a robot or whatever, let’s goooo!"
18,73,Clint," I’ll make it very simple. You’re in a field of lilies of the valley, the- the golden road has kinda fallen into disrepair. Right ahead of you is this thick line of trees. A robot Salome has come in riding on a unicorn. She jumps off the unicorn, she drops John the Baptist’s head— ah, I forgot to put John the Baptist’s head on the—"
19,73,Travis," [crosstalk] No, but let’s just say, Dad—"
20,73,Clint, [crosstalk] —the map.
21,73,Travis, —your map game is—
22,73,Griffin, [crosstalk] It’s improving! You’re gonna be—
23,73,Travis," [crosstalk] And I just want to say, I love how you see all the little flowers everywhere, Dad has added some more appropriate, like, fanart versions of us as the icons—"
24,73,Griffin," There’s no inanimate— there’s no inanimate objects representing living human beings, which is very exciting. "
25,73,Travis," [crosstalk] Yeah, but then right up there in the top right-hand corner, is—"
26,73,Clint," No, no, no, no! Don’t give it away! "
27,73,Travis, Wha-
28,73,Justin," What are you talking about, don’t give it away? You’re showing us!"
29,73,Travis," [cross talk] It’s there on the— it’s the stuff of nightmares! We’ll get to it, I guess. "
30,73,Clint," We’ll get to it. As a matter of fact, it’s coming right now. "
31,73,Justin, Okay. 
32,73,Clint," Okay, so, I told you the unicorn, this giant robot unicorn, has charged forward after, uh, Ditto challenged me on the biblical authenticity of unicorns. "
33,73,Travis, That was in character. 
34,73,Griffin," No, that was—"
35,73,Clint," [crosstalk] Oh, that’s right."
36,73,Griffin," No, that was me. I didn’t know. "
37,73,Clint," Oh, ok. So this Salome robot starts to dance—"
38,73,Travis, [crosstalk] Salome!
39,73,Clint," But it’s really kind of weird. Uh, it’s kind of like, herky-jerky, like somebody doing the robot, which [laughing] I guess is appropriate! Um, but as she dances, as she spins, a couple of the veils that are wrapped around her start to unwind from her body."
40,73,Travis, Gross.
41,73,Clint," Now these are very specific, they are called rumals, and they’re a weapon, they’re weighted at the end. And she spins faster and faster. So the unicorn is charging on you, and just then, you hear this high-pitched buzzing sound coming from the trees, and John the Baptist’s head pops— pipes up, and says "
42,73,John the Baptist," Genesis 324, “At the east of the garden of Eden, he stationed the Cherubim and the flaming sword.” "
43,73,Griffin," Oh god, they just moved! They moved! "
44,73,"[Yelling, laughter]",
45,73,Clint, Do you need cherubim?
46,73,Griffin," Sorry, Dad has chosen the scariest possible sort of iconography for the cherubim on this map, and he—"
47,73,Travis, It looks like if weeping angels had babies. 
48,73,Griffin, And he moved them and it gave me a terrible fright. 
49,73,Clint, Three incredibly adorable baby angels—
50,73,Travis, [crosstalk] No! No! 
51,73,Griffin, [crosstalk] Wrong. Incorrect.
52,73,Clint," —come flying out of the trees, each with adorable little flaming swords, which I couldn’t find on the icons, so I—"
53,73,Travis," Are they like, scale sized the size of like cocktail swords, or a little bit bigger? "
54,73,Clint," Aw, that would be awful cute, wouldn’t it? "
55,73,Travis, Yeah.
56,73,Clint," Well these are, these are shaped in the size of real babies, so. And, uh, the unicorn starts making a beeline for Kardala, the cherubim zoom towards Nadiya, and Salome launches her first rumal straight at Remy. So, I would like you—"
57,73,Travis, Cherubims! Why did it have to be cherubims?
58,73,[someone snorts with laughter],
59,73,Clint," Alright, I need you guys to roll to determine who’s going to go first. So what we’ll do is, roll your Fate die, and add your, uh, Athletics bonus to it so I can decide who goes— so we can decide who goes first. "
60,73,Griffin," Uh, I have, uh, plus five. "
61,73,Travis," I rolled a two, plus one, a three. "
62,73,Justin," Yeah, I’ll, uh, go ahead and add a one, so I got a one. "
63,73,Clint, Remy’s going to go first. 
64,73,Griffin, I turn to the other two and I say
65,73,Remy," I really don’t want to punch a baby. I know that they’re robots, but it’s still a little bit upsetting. "
66,73,Nadiya," She— it’s a robot. I can logically distance myself from the fact that that is not a real baby, Remy, like—"
67,73,Remy, Fair enough. 
68,73,Nadiya," You get that, right? You fight robot dance lady, I’ll fight robot babies, Kardala?"
69,73,Kardala, Yes? 
70,73,Nadiya," Robot unicorn. This— I feel like our dance cards are full, as they say. "
71,73,Kardala," I do not appreciate your order, but I would like to punch the unicorn."
72,73,[Clint laughs],
73,73,Nadiya, Yeah. 
74,73,Remy, I think it’d be a lot easier for you to punch this unicorn if it was lying down. 
75,73,Griffin," And I grab the rumal as they’re coming at me, and I want to try to trip the unicorn. Like, they’re long strips of fabric, right? With— with weighted—"
76,73,Clint," Yeah. But they’re like, this really high-tech mesh—"
77,73,Griffin, Yeah. 
78,73,Clint," —they’ll stretch, but they’re not gonna tear or break."
79,73,Griffin," Well I mean if they’re flying at me, I just wanna grab them out of the air and then try to like, uh, clothesline the unicorn as it’s coming, like, get it under the legs and knock it down. Try to interrupt its charge. "
80,73,Clint, Alright. 
81,73,Griffin, What would that be? 
82,73,Clint," Alright. Well, you tell me, what do you want to use? Tell me, [crosstalk] are you gonna grab the rumal? "
83,73,Griffin," [crosstalk] I think— yeah, I think because it’s like a ranged attack and I’m trying to interrupt it, I feel like athletics would be… ‘cause I don’t see anything else, really— maybe Physique, but that’s more like a feat of strength, this is more of a feat of, like, coordination. [crosstalk] Yeah. So…"
84,73,Clint, [crosstalk] Okay. All right. 
85,73,Griffin," Well, that’s not going to be good. So that is a two. "
86,73,Clint, Okay. [crosstalk] And so Salome—
87,73,Travis," [crosstalk] And you’re rolling— just to be clear, rolled a negative two, plus four… "
88,73,Griffin," [crosstalk] Plus four is, yeah, and I don’t think I’m going to add anything to it, cause this is not, uh, “Anything requiring leaping, balancing, or otherwise demonstrating your agility.” "
89,73,Clint," I think because of the accuracy of her throw, I think, uh, I think the rumal actually impacts you. [Griffin groans] The weighted part of the rumal hits you—"
90,73,Griffin," [crosstalk] I fucking— I see them coming and I, like, clap my hands together and put up like a catcher’s stance, and they just fucking level me. "
91,73,Clint," Oh, yeah! I like that! But you caught it, uh, and you went down. [crosstalk] All right? "
92,73,Griffin," [crosstalk] Okay. I take a— I take a Stress, I imagine. "
93,73,Clint," Yeah, you take one Stress. "
94,73,Travis," Ok, so we haven’t dealt with this yet. In Fate, um, when you take hits, you have, like, um, so— say you take one point of dam— one point of Stress, is what it’s called. "
95,73,Griffin," Basically you have hit points in the form of Stress, and if you take too many of those you get a Consequence, and Consequences are Aspects that Dad can invoke and they can be something like broken rib, or a bloody nose, or concussion, or something like that. And… yeah. "
96,73,[crosstalk],
97,73,Clint, So you—
98,73,Remy," I got, I got the thing! I got the thing. So don’t worry about that. Disarmed! "
99,73,Clint, Who— who’s going next? I’m going to let you pick who goes next. 
