,episode,speaker,lines
0,82,The Adventure Zone,
1,82,Master of Ceremonies & NPCs, Travis McElroy
2,82,Errol Ryehouse, Griffin McElroy
3,82,Augustus Parsons, Justin McElroy
4,82,Gandy Dancer, Clint McElroy
5,82,Episode 82 - Dust - Part 1,
6,82,(part of TAZscripts on Tumblr),
7,82,Travis," Previously, on The Adventure Zone"
8,82,Justin, I’m playing a ghost. His name is Augustus Parsons.
9,82,Clint, My character’s called Gandy Dancer. She’s a wizard.
10,82,Griffin, His name is Errol Ryehouse. He is permanently half-transformed between human and werewolf.
11,82,Narrator," We found Jeremiah Blackwell dead in the street. It has every sign of an attack by one of the Furs, Dylan Mathis. The three of you work for the Grayson Agency. Abigail Mathis, Dylan’s mother and owner of the silver mines south of town, had hired Graysons as arbiters, but didn’t state in the telegram what it is you’d be handling. When Connors first brought Dylan in, he wouldn’t shut up about his innocence. Now he’s keeping quiet. Abigail and Connors have agreed to bring y’all in on this to try to sort it out. It’s midnight now. At 8 a.m. the whole town is gonna be awake. And once they find out what’s happening, all hell’s gonna break loose. You have eight hours. Good luck."
12,82,[Theme music (The Adventure Zone, Dust Theme by Griffin McElroy) plays]
13,82,Travis," Here we are. Episode 1, offish. Um."
14,82,Justin," [crosstalk] Wait, gonna roll a—"
15,82,Griffin," [crosstalk] Wait, the arc is called “Fish” now?"
16,82,Travis," “Offish,” like “official.”"
17,82,Griffin, Welcome to The Adventure Zone Fish. What’s going on under-?
18,82,Travis, Fish. No that’ll be the sixth one if I know my alphabet correctly.
19,82,Clint, Yeah.
20,82,Griffin," We are doing that, right? "
21,82,Travis," The next one is “Extravagance.” Um, so, I was just gonna jump straight into the story but last night, as I was figuring stuff out, I came up with a mechanic that I really, really like that I’m gonna share with y’all. Because I set a kind of time limit on the story, I was trying to figure out a good way to like, work that in to the game. So what it’s gonna be is, I have mapped out a certain number of beats in each hour so you can go to different locations. You know, so for example, during the hour of midnight you could go to two or three locations."
22,82,Griffin, I love that.
23,82,Travis, Then the time will move forward. Now the reason—
24,82,Justin, That’s cool!
25,82,Travis," Now the reason the two or three is— The other part of the mechanic is you have the option to either completely separate or go to places together. If you go to places together, you only have time to do two. But if you separate, you have time to do three beats. And the problem is if you are by yourself, you are without the faction help and the skills of the other people, but you have time to do more investigating. "
26,82,Clint, And I’ll miss you.
27,82,Griffin," It’s funny that you came up with that independently, because there’s a— I think a Sherlock Holmes Powered By the Apocalypse game. I’ve heard it a couple times on the “Friends at the Table” podcast that has basically this exact mechanic in it. And I always thought it was really neat."
28,82,Travis," Excellent. Well, I’m a genius. And to put a little-"
29,82,Griffin, Or a thief. Or an idea thief. Copyright thief.
30,82,Justin, [underneath Griffin] Or a thief. A thief.
31,82,Travis," One of those two. No, I definitely did not steal the idea. Came to me last night, in a dream. Um, also—"
32,82,Justin," While he was listening to his favorite sleeping podcast, “Friends at the Table.”"
