,episode,speaker,lines
0,15,The Adventure Zone,
1,15,Dungeon Master & NPCs, Griffin McElroy
2,15,Magnus Burnsides, Travis McElroy
3,15,Merle Highchurch, Clint McElroy
4,15,Taako Tacco, Justin McElroy
5,15,Episode 15 - Murder on the Rockport Limited - Chapter Six,
6,15, (part of TAZscripts on Tumblr),
7,15,Griffin," Previously, on the Adventure Zone"
8,15,Angus," If the object of value that the three of you are trying to claim is somewhere on this train, then I have reason to believe that the Rockport Slayer is somewhere on the train too."
9,15,Griffin, You see a shadow through the frosted glass of the sleeper car breeze past. You see a large pool of blood on the outside of the closed door. This body is wearing robes. It has been beheaded. Both of its hands are missing and it has a shimmering… rainbow… bowtie.
10,15,Everyone, No! No!
11,15,Travis," No, we didn’t appreciate him while he was alive!"
12,15,Clint, Jenkins!
13,15,Griffin, The cut through the neck is very clean. You hear a deafening roar come from that room.
14,15,Graham, The last time I saw Jenkins was just a few minutes before I found him. He came up and did a drink service up here.
15,15,Griffin, You hear the engineer’s voice come from a small cone above the door.
16,15,Hudson, Jenkins was a dedicated employee of the Ro—
17,15,Magnus, Well now he’s just a dead employee.
18,15,Taako, A dead employee!
19,15,Clint, I pick up the nodule. It’s a little sticky. I put it in my ear.
20,15,Scuttle Buddy, [buzzes as if to say “I love you”].
21,15,Merle," I love you too, scuttle buddy."
22,15,Announcer," Put on your thinking caps, gumshoes! It’s time to solve a murder in The Adventure Zone!"
23,15,[THEME MUSIC, “Déjà Vu” by Mort Garson (full song on YouTube)]
24,15,{1,53}
25,15,Griffin," The three of you are stacked up, SWAT Team style on the door to the cargo car. With—"
26,15,Travis, Like on each other’s shoulders?
27,15,Griffin," No, I mean there’s no, like- you’re not sneaking into an R-Rated movie. You’re about to- you’re about to slice-"
28,15,Clint, [laughing]
29,15,Travis, We’re like Little Rascalling it? 
30,15,Griffin," No, you’re about to slice the pie with Angus who has his uh- his hand crossbow out. Uh, he’s got his back up to the wall against the door with the hand on the door, ready to go in. Before you all can breach, Angus turns to the three of you and says "
31,15,Angus," Now listen, if we find the culprit in this room, you have to promise me that you’ll help me apprehend him. Don’t kill him. Or her. Whoever it is.  "
32,15,Magnus," Ooh, that’s a big ask."
33,15,[Justin hisses],
34,15,Merle, We really wanna kill him. 
35,15,Justin, Yeah we— 
36,15,Magnus," We only know like, two things."
37,15,Merle, Jumping away from fire and killing are the only two things we’re really good at.
38,15,Griffin, Not— 
39,15,Taako," We don’t have our weapons, though, so w— it would come down to fisticuffs. "
40,15,Magnus, That’s true.
41,15,Merle, Aw.
42,15,Taako, Beat a man to death with your bare hand.
43,15,Angus, I’ve found that not killing is pretty easy. I go long stretch- long periods of time without killing anybody.
44,15,Travis, [in Angus’s voice] Keeping the demons at bay!
45,15,Taako," Hey, listen, we all have droughts, kid. Don’t feel bad."
46,15,[laughter] ,
47,15,Griffin," Uhh, he says "
48,15,Angus, Okay. 
49,15,Justin, —cold streaks.
50,15,Angus," Breaching in three, two, one—"
51,15,Magnus, Wait! Wait!
52,15,Angus, What- what- Yeah?
53,15,Magnus, Angus. 
54,15,Angus, Yeah? 
55,15,Magnus, Check your book.
56,15,Angus, Okay?
57,15,Griffin," He pulls out the Book of Interception that he used to discover your true identities and cracks it open, and says uh"
58,15,Angus, What am I looking for here?
59,15,Magnus, Is there anything since just before we heard the scream that alerted us to the Jenkins murder or anything after? Any information we should have before we move forward?
60,15,Griffin, He flips through the book really quickly
61,15,Angus," This is not a great time for it, we’re about to do some action-packed SWAT shit, but… No I don’t- I don’t see any messages in here. "
62,15,Magnus, Okay.
