,episode,speaker,lines
0,42,The Adventure Zone ,
1,42,Dungeon Master & NPCs, Griffin McElroy
2,42,Magnus Burnsides, Travis McElroy
3,42,Merle Highchurch, Clint McElroy
4,42,Taako Taaco, Justin McElroy 
5,42,Episode 42 - The Eleventh Hour - Chapter Two,
6,42,(part of TAZscripts on Tumblr),
7,42,Griffin," Previously, on The Adventure Zone"
8,42,[Recap music begins playing in the background],
9,42,The Director," To be frank, I don’t know what’s waiting for you on this mission, but I know what’s waiting for you at the end of it."
10,42,Magnus, Hugs?
11,42,The Director," It’s the fifth Grand Relic. The Temporal Chalice [pronounced with a soft “ch” sound]. Or Chalice [pronounced with a hard “ch” sound], depending on just sort of what region you’re from. It is a cup that gives the holder power over the flow of time itself. "
12,42,Griffin," You are now in front of this massive, massive— it is a sphere but to you it just looks like a dome on the ground that is reaching high, high up into the sky."
13,42,Avi, You guys ready?
14,42,Taako, Yes.
15,42,Avi, Okay… mark!
16,42,Griffin," Boys, you go very fast. And standing in this white space in front of you is a very old woman."
17,42,Old Woman, Find me.
18,42,[Intro music],
19,42,Announcer," If that old lady is some sort of spooky ghost, I’m out of here. I need a ghost-free guarantee if I’m going to stay in… The Adventure Zone!"
20,42,[Theme music, Déjà Vu by Mort Garson]
21,42,{1,26}
22,42,Griffin," Boys, I have a sickness. Got an illness in this episode."
23,42,Travis, And the only cure is more cowbell!
24,42,Griffin," Well, screaming into the microphone most certainly is not the cure."
25,42,Travis," [Insistent, drawn out] Cooowbeeeell!"
26,42,Griffin," Whatever the opposite of a cure is, you just did that."
27,42,Clint, [Drawn out] Feel better!
28,42,Travis, The only cure is more ka-mowbell.
29,42,Griffin," So the end of that sentence that you cut off was, “So I won’t be able to put up with any shit today.” But the problem is that I already have. "
30,42,[Clint chuckles],
31,42,Travis, Cowbull! 
32,42,Justin, Yeah.
33,42,Griffin, This is what the scientists and doctors would call immersion therapy.
34,42,Travis, You know how Patch Adams liked to make people laugh to make them feel better? I like to make people feel really frustrated and annoyed to make them feel worse.
35,42,Griffin, Yeah.
36,42,Travis, They call me Natch Adams.
37,42,Griffin," Thanks, Natch Adams. I hate you."
38,42,Clint," And I, as your father, have a natural nurturing need to just keep shoveling the shit on you."
39,42,Griffin, Thank you. I love it.
40,42,Justin," I love to steal things, so they call me Snatch Adams. [Someone wheezes] [In a high-pitched Southern voice] Where’d my stethoscope go? Aw, it’s over here. I got your stethoscope."
41,42,Griffin," While we were on our DC/New York live shows for MBMBaM, you were— you did bring a red nose around with you. That’s not a joke, you had a clown nose on and you’d put it on like, while we’re on the subway, just to make people think you’re a serial killer."
42,42,Justin," To make people laugh and brighten their day, yeah, I agree."
43,42,Clint, Make people happy.
44,42,Griffin, Let’s play Dungeons & Dragons.
45,42,Justin," You treat the disease, you win, you lose."
46,42,Griffin, Okay.
47,42,Justin," You treat the patient, you win every time."
48,42,Travis," Step right up! Step right up and treat the patient! You win, you lose."
49,42,Griffin, Let’s find out if you guys can win or lose. 
50,42,Justin, [Laughing quietly] Swimming pool of noodles…
51,42,Griffin," So you have woken up— do you need a refresher of where you’re at, what you’re doing?"
52,42,Travis," We got blasted with a time cannon into a time bubble. We were in, like, a time ball. There was an old lady and she said “It’s you, come find me,” and then we woke up."
53,42,Griffin," Thank you, Travis."
54,42,Clint, So yes.
55,42,Griffin," Man, you should be running this shit."
56,42,Travis," It would be a lot shorter. We would’ve gotten through Crystal Kingdom in half a session. “What, there’s a guy with the mirrors and the thing? Oh, it’s a skeleton man! It’s a robot lady! You win!”"
57,42,Griffin," You win. Congratulations. Roll your dice? Yeah, that’s high enough."
58,42,"Um, you wake up out of this white space that you were just in. You wake up and you are supine. You’re laying on the ground, face-down. Got a face full of soft, red dirt. And wherever you are, it’s a little bit warmer than the part of the Woven Gulch that you were just in. The air feels kinda stale, and as you sort of look up and right yourself from the red dirt you’re lying in, you find yourself standing in front of a gate which has been constructed over a path leading into a small town.",
59,42,[“Refuge” begins playing in the background],
60,42,"And the town— it looks fairly rustic, for lack of a better term?",
61,42,Travis, Yeah! Finally!
62,42,Griffin," Yeah, your—"
