,episode,speaker,lines
0,26,The Adventure Zone,
1,26,Dungeon Master & NPCs, Griffin McElroy
2,26,Magnus Burnsides, Travis McElroy
3,26,Merle Hightower Highchurch, Clint McElroy
4,26,Taako Taaco, Justin McElroy
5,26,Episode 26 - Petals to the Metal - Chapter Nine,
6,26,(part of TAZscripts on Tumblr),
7,26,Griffin," Previously, on The Adventure Zone..."
8,26,Justin," A large, quasi-real horse-like creature appears on the ground."
9,26,"I decide the creature's appearance, so it looks like a beautiful unicorn. His name is Garyl.",
10,26,Griffin," You see a gigantic, armored boar. A massive, massive battle wagon emerges from the dust cloud."
11,26,Justin, Son of a bitch...
12,26,Griffin, It is a tank in the shape of a shark.
13,26,Travis," Oh yeah, those guys. From like a month and a half ago."
14,26,Griffin," The walls of the crate and the roof of the crate sort of fall off the sides of the wagon, and it is basically just like a big flatbed, three, uh, humanoids of different races, and they're all wearing cricket masks. And two of them vault over onto, uh, your battle wagon. The third one, they have a glowing purple orb. Taako, you've been dominated. Unsnap your safety harness, and take a diving leap-"
15,26,Travis, Garyl!
16,26,Griffin," -off of the back of the car. And you're snatched out of the air, like a foul ball, and placed down into the sidecar of a motorcycle. You see Klaarg the bugbear-"
17,26,Travis, [Gasp]
18,26,Klaarg," Wow, that was a close one, wasn't it!"
19,26,Announcer, I don't have anything to say here! These stunts are giving me palpitations! It's The Adventure Zone!
20,26,[Theme Plays] ,
21,26,[1,57]
22,26,Griffin," Just to catch you guys up on what's going on, where you're at, on the racetrack, because, uh, this whole thing has gotten way more convoluted than uh-"
23,26,[sound of soda can popping],
24,26,Griffin," Ooh, is that a Pepsi?"
25,26,Justin, [laughs] It's Diet Dr. Fantasy Pepper.
26,26,Griffin," Okay, ah, ah, It's gotten-it's gotten pretty complicated out on the battlefield, ah, you got the shark tank, ah, behind, in sort of the back of the pack, uh, and then in front of that is, uh, Klaarg on his motorcycle, where he has just fetched Taako out of the air and put him into the sidecar; in front of that is Hurley's battle wagon, which has two of the cricket racers with these hand axes that just vaulted over from the crate, which is on the right, uh, which is now no longer a crate. It's sort of a flatbed truck with a  driver on it, and uh, uh- the mind control cricket guy on that flatbed truck; in front of everybody is the Raven, who is still leading the pack, uh, you're getting kind of close to the finish line, um, it's almost in sight, and to the left, you got Merle on a fantasy spectral binicorn named Garyl, and then to the left of that is the chariot with uh, Magnus on it, and leading the chariot is an enraged boar- my god. My god-"
27,26,Travis, What a- what a world in which we live.
28,26,Griffin, This is-
29,26,Clint," If we have one more episode, you're gonna hemorrhage."
30,26,Griffin, I know. This is-this is- this is Noah's Ark of fantasy.
31,26,Travis," Now, I feel something very important that I need clarified from Justin. For the good of the internet, how do you spell Garyl?"
32,26,Justin, [Laugh] G A [pause] R [Intense space] Y L
33,26,Griffin," Oh man, we were all waiting on pins and needles to see if that double R came into play. "
34,26,Justin," No, no."
35,26,Clint, That would be Garrrrrrrryl [rolls tongue].
36,26,Justin, G-A-R-Y-L. Garyl. 
37,26,Griffin," Um, the last thing that happened in the-"
38,26,Justin," -and by the way, people who started drawing Garyl-"
39,26,Griffin, Yeah. 
40,26,Justin," -before he grew his second horn, I'm onto you."
41,26,Griffin," Yeah, sure."
42,26,Justin," I could tell, everybody knew."
43,26,Clint, Mmhmm.
44,26,Griffin," Uh, last thing that happened was that the mind control cricket racer grasped Taako by the brain, and made him jump off of the back of the, back of Hurley's wagon, you have been grabbed by, uh, the- the bugbear known as Klaarg, and put in his side seat, and he said a witty one-liner to you. Uh, Klaarg says to you, Taako, "
45,26,Klaarg," Are you doing okay? I was worried about you, and I saw you flying all hither and yon through the air."
46,26,Taako," Yeah, my dude! I’m- I’m good now, thank you!"
47,26,Klaarg," M’kay, uh, you let me know if uh- I- I didn’t bring my tea with me this time because I feared it would be a little intense out here and not really great brewing conditions but you just-"
48,26,Taako," Right you were, huh?"
