,episode,speaker,lines
0,8,The Adventure Zone,
1,8,Dungeon Master & NPCs, Griffin McElroy
2,8,Magnus Burnsides, Travis McElroy
3,8,Merle Highchurch, Clint McElroy
4,8,Taako, Justin McElroy
5,8,Episode 8, Moonlighting - Chapter Two
6,8,Griffin," Previously, on The Adventure Zone"
7,8,Griffin," You walk out of the hangar and see that you are surrounded by dome-shaped buildings, these Epcot-ball-esque buildings… You three step onto the elevator and you actually hear, the doors to this dome open up once more and you hear a guy go,"
8,8,Johann," Can you hold the elevator, please? My name is Johann."
9,8,Clint, Ah.
10,8,Travis, Okay.
11,8,Johann," I’m like, the greatest violinist basically ever."
12,8,Justin, I tickle him.
13,8,[Laughter],
14,8,Johann, Ha ha ha ha ha ha ha. Stop it.
15,8,Griffin," The room that opens up is very dark, save for a tank in the middle. And something is in there. You can sort of make out the shadow of something. He walks the three of you over to a spigot on the side of this tank and takes out three vials."
16,8,Travis, Magnus drinks the vial.
17,8,Clint, Of course he does.
18,8,Griffin," Okay, with each passing second, you remember more and more. You remember the Black Spider asking you if you’re members of the Bureau of Balance. You remember months and months and years beyond that. You remember just this carnage and conflict that seems too enormous for you to have possibly forgotten."
19,8,Johann, We call it the voidfish. Whatever information you give it stops existing unless you’ve been inoculated and “drank from the tank” is what we say.
20,8,Magnus," Who’s in charge, here?"
21,8,Johann," That’s the Director. Now that you guys have been inoculated, she’ll probably want to see you."
22,8,Magnus, Could you take us to her?
23,8,Johann," I’m not, like, the valet here. I’m the gamekeeper."
24,8,[Clint laughs],
25,8,Travis, I slip him five bucks.
26,8,Johann," [Sarcastic] Oh, oh, thank you, sir! "
27,8,[Theme music, Déjà Vu by Mort Garson]
28,8,Announcer, Can our heroes survive the most treacherous job interview? I see myself in five years in… The Adventure Zone!
29,8,{2,23}
30,8,Griffin," The three of you are received at the elevator by another guard, who walks you into the largest and grandest dome on the campus. You enter into a foyer. It’s just—"
31,8,Travis, Do we need to wipe our feet or anything?
32,8,Griffin," You are asked to remove your shoes— No, you’re fine. A magic enchantment has dirt-proofed the floor of this place."
33,8,Travis, This place truly is magical!
34,8,Griffin," You three are welcomed into this chamber. It almost seems kind of like a throne room, a little bit."
35,8,Travis," Hey, Ditto, we probably should have asked this earlier, but throughout all of this, and since we got here, what’s the vibe been like? Has it been like, are we getting weird glances as we walk through? [Griffin No.] Are people seeming suspicious?"
36,8,Griffin," No, people don’t really seem to give you a time of day. There are— You’ve seen a few dozen people since you’ve been up here. Most of them wearing—"
37,8,Clint, Have we not been here before?
38,8,Griffin," No. You’ve never been here before. God, I’m gonna have to do that a lot, aren’t I? Now that I’ve written in this—"
39,8,Clint," Well, Bureau of Balance, I mean, we’re part of the Bureau of Balance, I just thought this was the headquarters."
40,8,Griffin," Well, you’re not."
41,8,Clint, Oh.
42,8,Justin, We remembered her saying Bureau of Balance. 
43,8,Clint, Aahhhh.
44,8,Justin, We remembered hearing her saying it earlier.
45,8,Griffin," Exactly. You walk down sort of the carpeted runway to the throne portion of the throne room. God, I’m talking good today. Wow. You’re standing at the edge of a dais [Griffin pronounces it die-is] that the throne is sitting upon. And sitting upon the throne, upon the dais— Should we just cancel the podcast? ‘Cause I’m apparently incapable of stringing sentences together."
46,8,[Clint laughs],
47,8,Clint," Let me give you a musical break. [Singing] It’s a dais, it’s a dais, it’s a dais. Take it!"
48,8,Travis, That’s solid.
49,8,Griffin," I’m gonna take my jacket off, actually, ‘cause I’m getting sweaty."
50,8,Justin," Yeah, that was the issue."
51,8,Travis, He needs to streamline it.
52,8,Justin, Isn’t it a dais? [Pronounced day-is]
53,8,Clint," It is a dais [day-is], but he’s on a roll."
54,8,Justin," It’s a dais, okay."
55,8,Clint, That’s when the Germans bombed Pearl Harbor.
56,8,Griffin, What?
57,8,Clint," It’s from Animal House, way before your time."
58,8,Griffin, Wow. Okay.
59,8,Clint, Somebody out there will get that.
60,8,Justin, Old people.
61,8,[Laughter],
62,8,Travis, Zing.
63,8,Justin," Listen, if they’re not 18 to 34, I got nothin’ for ‘em. "
64,8,Griffin, Sitting upon the throne on top of this fancy-ass platform—
65,8,Travis, This shit looks tight.
66,8,Griffin," Is a human woman in her… You would say about her 50s, who is dressed in a very ornate, blue and white robe, holding a white oak staff that is actually fairly plain. It doesn’t really match her decorated outfit. And she says… now I gotta do another voice."
67,8,Woman," [Calm woman’s voice] Welcome, the three of you to the Bureau of Balance. It’s a pleasure to have you. I’ve heard a lot of great things about your performance from Killian. Before we go any further I’m going to need you to hand over the gauntlet so we can destroy it promptly."
68,8,Travis, Really.
69,8,Clint, Hmm.
70,8,Magnus, But it’s our gauntlet.
71,8,Merle," You see, that’s kind of the business we’re in. You know, we get stuff and then people pay us for it, so… "
72,8,Taako, Yeah.
73,8,Woman," Oh, you will be paid. You will be paid very, very handsomely."
74,8,Taako, That’s the kind of thing people say if by “paying us” they’re gonna kill us.
75,8,Griffin," She says,"
76,8,Woman," No, that’s not how the Bureau operates. Give me a moment. [Claps hands] Davenport! Davenport!"
77,8,[Laughter],
78,8,Clint, He’s sitting on a couch.
79,8,Griffin," And a gnome-ish man walks out, very finely dressed, very, very nice garb, walks out holding a tray with a coin purse sitting on it. The director says,"
80,8,Woman," Pay the men, Davenport. Pay the men their money for a good day’s work. Well, it was more like a ten day, but it was a lot of days. Go ahead and give them their payment."
81,8,Griffin," And he says,"
82,8,Davenport, [Gnome-ish voice] Right away.
83,8,Travis, Nailed it.
84,8,Griffin, And walks over to the three of you and holds up the tray with the coin purse on it.
85,8,Travis," Okay, I grab his coin purse."
86,8,Clint," Good, anybody but Taako."
87,8,Magnus," And excuse me, madam, what is your name?"
88,8,Woman," That’s actually classified, but—"
89,8,Magnus, Then how should we address you?
90,8,Woman, The Director is fine.
91,8,Magnus, Director—
92,8,Director, Or Madam Director is fine also.
93,8,Magnus, Madam— Madam Director—
94,8,Merle, Lady Director.
95,8,Magnus, Shut up.
96,8,Director, Nope.
97,8,Magnus," I’m happy to destroy the gauntlet. I would like to be present while it is destroyed, so I can confirm—"
98,8,Director," Oh, yes, I imagine you would. It’ll be quite spectacular."
99,8,Taako, And it makes him horny!
100,8,[Laughter],
101,8,Magnus, Shh! That’s between me and my god.
102,8,Taako, He loves seeing things destroyed.
103,8,Merle, A stiff wind makes him horny.
104,8,Magnus, That is not true!
105,8,Merle, Can we watch while you hurl it into the fires of Mount Doom?
106,8,Director, If only it were so simple. It’s actually taken us quite some time to develop anything capable of destroying something quite so powerful.
107,8,Taako," Well, listen. I’m— I’m but a simple idiot wizard. Could you tell us a little about—"
108,8,Director," No, don’t sell yourself short."
109,8,Magnus," No, he’s not. It’s pretty accurate."
110,8,Taako," No, I appreciate it, but I’m comfortable with where I’m at. I’m just standing in my truth here. Listen, could you tell us a little about your organization, before we just… hand it over? It’s really scary and it makes ouchies. When you touch it I mean— ouchies."
111,8,Director, When you touch the… organization—
112,8,Taako, Gauntlet. It’s— it ouchies.
113,8,Director, I see…
114,8,Taako, Remember— Remember Phandalin?
115,8,Director," You’re the three who conquered Magic Brian and claimed the gauntlet, yes? That was—"
116,8,Taako, Remember Phandalin?
117,8,Director," Ye-yes, sadly I do remember Phandalin."
118,8,Taako," Lucky, that’s lucky for you. Treasure that memory."
119,8,Director, We know what’s happened to Phandalin. We’ve been tracking the three of you—
120,8,Taako, No— It was burned. The gauntlet burned it.
