,episode,speaker,lines
0,67,The Adventure Zone,
1,67,Dungeon Master & NPCs, Griffin McElroy
2,67,Magnus Burnsides, Travis McElroy
3,67,Merle Fucking Hightower Highchurch, Clint McElroy
4,67,Taako Taaco, Justin McElroy
5,67,"Episode 67 - Story and Song - Finale, Part One",
6,67,(part of TAZscripts on Tumblr) ,
7,67,Griffin," Previously, on the Adventure Zone "
8,67,"You also do not remember The Hunger. You are being assailed by some invisible force. You can't cast magic anymore; and you like— you don't— but your magic comes from Pan and Pan's gone, Pan's not with you, Pan’s not connected to you anymore, so your source for your magic that you tap— it's gone. Merle is completely disconnected from his Divine source.",
9,67,Justin, [sarcastically] But who will heal us?
10,67,Griffin," Where Lup went… she didn’t intend to end up there, and she certainly didn’t intend to spend as much time away as she did and all you had to go on was a note that she left behind on that kitchen table Back soon."
11,67,Lucretia," We came from another world, another reality, we were— we were pursued by a destructive force beyond measure or comprehension. When we came to this world, the seven of us, we… we made the relics to try to hide the Light that they contained from the Hunger that would consume us but it was a mistake. I fed a record of our mission to the Voidfish and I made you all forget. I made the world forget. "
12,67,Griffin," You see massive half-mile wide tendrils of living darkness worming  out of the sky above and colliding with the ground below to form thick, swirling pillars. And from those pillars, The Hunger's armies have begun to manifest, marching outward to raze the world below. It's the end of the world, again."
13,67,Announcer," You're ready, ready for the final piece of our story, ready for the end to begin. It's the Adventure Zone!"
14,67,[THEME MUSIC," ""Déjà Vu"" by Mort Garson (full song on YouTube)]"
15,67,{02,23}
16,67,[Story And Song starts playing] ,
17,67,Griffin," When people talk about that day they call it, well… some of them call it lots of different things. The Apocalypse, The Cataclysm. Some simply call it The Attack. Religious types, the— the ones who felt abandoned by their absent Gods in those moments, they call it Judgment Day; a sort of punishment for the world's wicked ways. One particularly poetic title some use is The Day of the Unseen Invasion, though, I take umbrage with that one. After all, there were those who knew something was coming."
18,67,"The reaper known as Kravitz in his kingdom of death, he knew because he could see it all around, choking the astral plane, cutting it off from the rest of the system. He was safe but only just safe, he needed out. He needed to fulfill his Sacred Duty back in the living world, and so in that place filled with those who'd profaned the laws of life and death that he swore to uphold, the reaper known as Kravitz struck a deal.",
